time_s,position_m,motion_velocity_m_per_s,source_charge_C,source_current_A,load_charge_C,load_current_A,voltage_V,power_W,energy_J
6.333452572266e-01,6.988049175531e-03,-2.364410992282e-01,1.375322467887e-07,-3.936031243485e-06,3.330390057701e-07,-1.742455781724e-06,-1.742455781724e+03,3.036152151262e-03,1.236195178246e-03
6.334054668718e-01,6.973820391253e-03,-2.362002606477e-01,1.372953285002e-07,-3.933747360816e-06,3.329340577170e-07,-1.743631967656e-06,-1.743631967656e+03,3.040252438633e-03,1.236378107328e-03
6.334656765169e-01,6.959606107780e-03,-2.359594220671e-01,1.370585483374e-07,-3.931443083888e-06,3.328290389021e-07,-1.744806291878e-06,-1.744806291878e+03,3.044348996177e-03,1.236561283175e-03
6.335258861620e-01,6.945406325112e-03,-2.357185834865e-01,1.368219075255e-07,-3.929118503770e-06,3.327239494380e-07,-1.745978744471e-06,-1.745978744471e+03,3.048441776144e-03,1.236744705560e-03
6.335860958072e-01,6.931221043251e-03,-2.354777449060e-01,1.365854072842e-07,-3.926773711687e-06,3.326187894375e-07,-1.747149315571e-06,-1.747149315571e+03,3.052530730900e-03,1.236928374255e-03
6.336463054523e-01,6.917050262194e-03,-2.352369063254e-01,1.363490488277e-07,-3.924408799022e-06,3.325135590143e-07,-1.748317995370e-06,-1.748317995370e+03,3.056615812933e-03,1.237112289028e-03
6.337065150975e-01,6.902893981943e-03,-2.349960677449e-01,1.361128333648e-07,-3.922023857305e-06,3.324082582825e-07,-1.749484774111e-06,-1.749484774111e+03,3.060696974847e-03,1.237296449644e-03
6.337667247426e-01,6.888752202498e-03,-2.347552291643e-01,1.358767620986e-07,-3.919618978211e-06,3.323028873570e-07,-1.750649642095e-06,-1.750649642095e+03,3.064774169369e-03,1.237480855866e-03
6.338269343877e-01,6.874624923858e-03,-2.345143905837e-01,1.356408362267e-07,-3.917194253557e-06,3.321974463529e-07,-1.751812589676e-06,-1.751812589676e+03,3.068847349347e-03,1.237665507453e-03
6.338871440329e-01,6.860512146023e-03,-2.342735520032e-01,1.354050569414e-07,-3.914749775296e-06,3.320919353863e-07,-1.752973607261e-06,-1.752973607261e+03,3.072916467754e-03,1.237850404163e-03
6.339473536780e-01,6.846413868994e-03,-2.340327134226e-01,1.351694254291e-07,-3.912285635510e-06,3.319863545736e-07,-1.754132685314e-06,-1.754132685314e+03,3.076981477686e-03,1.238035545750e-03
6.340075633232e-01,6.832330092771e-03,-2.337918748421e-01,1.349339428709e-07,-3.909801926409e-06,3.318807040320e-07,-1.755289814351e-06,-1.755289814351e+03,3.081042332365e-03,1.238220931964e-03
6.340677729683e-01,6.818260817353e-03,-2.335510362615e-01,1.346986104423e-07,-3.907298740327e-06,3.317749838789e-07,-1.756444984945e-06,-1.756444984945e+03,3.085098985139e-03,1.238406562554e-03
6.341279826134e-01,6.804206042740e-03,-2.333101976809e-01,1.344634293133e-07,-3.904776169712e-06,3.316691942327e-07,-1.757598187722e-06,-1.757598187722e+03,3.089151389484e-03,1.238592437266e-03
6.341881922586e-01,6.790165768933e-03,-2.330693591004e-01,1.342284006480e-07,-3.902234307130e-06,3.315633352121e-07,-1.758749413364e-06,-1.758749413364e+03,3.093199499007e-03,1.238778555843e-03
6.342484019037e-01,6.776139995931e-03,-2.328285205198e-01,1.339935256055e-07,-3.899673245251e-06,3.314574069364e-07,-1.759898652605e-06,-1.759898652605e+03,3.097243267443e-03,1.238964918024e-03
6.343086115489e-01,6.762128723735e-03,-2.325876819393e-01,1.337588053387e-07,-3.897093076853e-06,3.313514095254e-07,-1.761045896238e-06,-1.761045896238e+03,3.101282648657e-03,1.239151523547e-03
6.343688211940e-01,6.748131952344e-03,-2.323468433587e-01,1.335242409954e-07,-3.894493894813e-06,3.312453430997e-07,-1.762191135107e-06,-1.762191135107e+03,3.105317596649e-03,1.239338372146e-03
6.344290308391e-01,6.734149681759e-03,-2.321060047781e-01,1.332898337175e-07,-3.891875792103e-06,3.311392077802e-07,-1.763334360112e-06,-1.763334360112e+03,3.109348065551e-03,1.239525463553e-03
6.344892404843e-01,6.720181911979e-03,-2.318651661976e-01,1.330555846415e-07,-3.889238861788e-06,3.310330036885e-07,-1.764475562208e-06,-1.764475562208e+03,3.113374009630e-03,1.239712797497e-03
6.345494501294e-01,6.706228643005e-03,-2.316243276170e-01,1.328214948981e-07,-3.886583197020e-06,3.309267309465e-07,-1.765614732405e-06,-1.765614732405e+03,3.117395383287e-03,1.239900373704e-03
6.346096597746e-01,6.692289874836e-03,-2.313834890365e-01,1.325875656125e-07,-3.883908891031e-06,3.308203896769e-07,-1.766751861768e-06,-1.766751861768e+03,3.121412141060e-03,1.240088191898e-03
6.346698694197e-01,6.678365607473e-03,-2.311426504559e-01,1.323537979043e-07,-3.881216037135e-06,3.307139800029e-07,-1.767886941415e-06,-1.767886941415e+03,3.125424237625e-03,1.240276251798e-03
6.347300790648e-01,6.664455840915e-03,-2.309018118753e-01,1.321201928874e-07,-3.878504728720e-06,3.306075020481e-07,-1.769019962521e-06,-1.769019962521e+03,3.129431627797e-03,1.240464553124e-03
6.347902887100e-01,6.650560575162e-03,-2.306609732948e-01,1.318867516702e-07,-3.875775059242e-06,3.305009559368e-07,-1.770150916315e-06,-1.770150916315e+03,3.133434266530e-03,1.240653095591e-03
6.348504983551e-01,6.636679810215e-03,-2.304201347142e-01,1.316534753554e-07,-3.873027122224e-06,3.303943417936e-07,-1.771279794081e-06,-1.771279794081e+03,3.137432108918e-03,1.240841878911e-03
6.349107080003e-01,6.622813546074e-03,-2.301792961337e-01,1.314203650401e-07,-3.870261011252e-06,3.302876597438e-07,-1.772406587157e-06,-1.772406587157e+03,3.141425110197e-03,1.241030902793e-03
6.349709176454e-01,6.608961782738e-03,-2.299384575531e-01,1.311874218156e-07,-3.867476819968e-06,3.301809099133e-07,-1.773531286937e-06,-1.773531286937e+03,3.145413225746e-03,1.241220166946e-03
6.350311272905e-01,6.595124520207e-03,-2.296976189725e-01,1.309546467677e-07,-3.864674642070e-06,3.300740924283e-07,-1.774653884871e-06,-1.774653884871e+03,3.149396411087e-03,1.241409671073e-03
6.350913369357e-01,6.581301758482e-03,-2.294567803920e-01,1.307220409767e-07,-3.861854571303e-06,3.299672074155e-07,-1.775774372460e-06,-1.775774372460e+03,3.153374621886e-03,1.241599414877e-03
6.351515465808e-01,6.567493497562e-03,-2.292159418114e-01,1.304896055169e-07,-3.859016701458e-06,3.298602550024e-07,-1.776892741264e-06,-1.776892741264e+03,3.157347813955e-03,1.241789398056e-03
6.352117562260e-01,6.553699737448e-03,-2.289751032309e-01,1.302573414573e-07,-3.856161126370e-06,3.297532353168e-07,-1.778008982894e-06,-1.778008982894e+03,3.161315943253e-03,1.241979620307e-03
6.352719658711e-01,6.539920478140e-03,-2.287342646503e-01,1.300252498611e-07,-3.853287939908e-06,3.296461484869e-07,-1.779123089021e-06,-1.779123089021e+03,3.165278965887e-03,1.242170081324e-03
6.353321755162e-01,6.526155719636e-03,-2.284934260697e-01,1.297933317857e-07,-3.850397235977e-06,3.295389946416e-07,-1.780235051365e-06,-1.780235051365e+03,3.169236838109e-03,1.242360780799e-03
6.353923851614e-01,6.512405461939e-03,-2.282525874892e-01,1.295615882831e-07,-3.847489108510e-06,3.294317739102e-07,-1.781344861705e-06,-1.781344861705e+03,3.173189516323e-03,1.242551718419e-03
6.354525948065e-01,6.498669705047e-03,-2.280117489086e-01,1.293300203996e-07,-3.844563651468e-06,3.293244864226e-07,-1.782452511873e-06,-1.782452511873e+03,3.177136957083e-03,1.242742893870e-03
6.355128044517e-01,6.484948448960e-03,-2.277709103281e-01,1.290986291757e-07,-3.841620958832e-06,3.292171323091e-07,-1.783557993756e-06,-1.783557993756e+03,3.181079117093e-03,1.242934306837e-03
6.355730140968e-01,6.471241693678e-03,-2.275300717475e-01,1.288674156463e-07,-3.838661124601e-06,3.291097117004e-07,-1.784661299297e-06,-1.784661299297e+03,3.185015953209e-03,1.243125957000e-03
6.356332237419e-01,6.457549439203e-03,-2.272892331670e-01,1.286363808406e-07,-3.835684242789e-06,3.290022247278e-07,-1.785762420492e-06,-1.785762420492e+03,3.188947422440e-03,1.243317844036e-03
