time_s,position_mm,velocity_m_per_s,source_charge_nC,source_current_uA,load_current_uA,voltage_V,power_mW,energy_uJ
7.838956259984e-02,1.228984704919e+01,3.135582503994e-01,-1.741708435465e+00,1.226230548556e+00,-7.817376184107e-01,-7.817376184107e+02,6.111137040384e-01,8.926675665496e+01
7.845893389417e-02,1.231160861562e+01,3.138357355767e-01,-1.656872587190e+00,1.219627183380e+00,-7.804985717030e-01,-7.804985717030e+02,6.091780204305e-01,8.930908326315e+01
7.852830518851e-02,1.233338943156e+01,3.141132207540e-01,-1.572494202828e+00,1.213041695271e+00,-7.792643667182e-01,-7.792643667182e+02,6.072529532367e-01,8.935127595871e+01
7.859767648285e-02,1.235518949700e+01,3.143907059314e-01,-1.488572042221e+00,1.206474084228e+00,-7.780349894141e-01,-7.780349894141e+02,6.053384447526e-01,8.939333547610e+01
7.866704777718e-02,1.237700881195e+01,3.146681911087e-01,-1.405104865216e+00,1.199924350250e+00,-7.768104257573e-01,-7.768104257573e+02,6.034344375652e-01,8.943526254580e+01
7.873641907152e-02,1.239884737641e+01,3.149456762861e-01,-1.322091431656e+00,1.193392493338e+00,-7.755906617231e-01,-7.755906617231e+02,6.015408745521e-01,8.947705789432e+01
7.880579036585e-02,1.242070519037e+01,3.152231614634e-01,-1.239530501388e+00,1.186878513493e+00,-7.743756832956e-01,-7.743756832956e+02,5.996576988795e-01,8.951872224422e+01
7.887516166019e-02,1.244258225384e+01,3.155006466408e-01,-1.157420834255e+00,1.180382410713e+00,-7.731654764672e-01,-7.731654764672e+02,5.977848540008e-01,8.956025631411e+01
7.894453295453e-02,1.246447856682e+01,3.157781318181e-01,-1.075761190102e+00,1.173904184999e+00,-7.719600272394e-01,-7.719600272394e+02,5.959222836555e-01,8.960166081871e+01
7.901390424886e-02,1.248639412930e+01,3.160556169955e-01,-9.945503287750e-01,1.167443836350e+00,-7.707593216220e-01,-7.707593216220e+02,5.940699318672e-01,8.964293646883e+01
7.908327554320e-02,1.250832894128e+01,3.163331021728e-01,-9.137870101177e-01,1.161001364768e+00,-7.695633456337e-01,-7.695633456337e+02,5.922277429429e-01,8.968408397142e+01
7.915264683754e-02,1.253028300278e+01,3.166105873501e-01,-8.334699939751e-01,1.154576770251e+00,-7.683720853016e-01,-7.683720853016e+02,5.903956614707e-01,8.972510402956e+01
7.922201813187e-02,1.255225631377e+01,3.168880725275e-01,-7.535980401921e-01,1.148170052800e+00,-7.671855266616e-01,-7.671855266616e+02,5.885736323191e-01,8.976599734250e+01
7.929138942621e-02,1.257424887428e+01,3.171655577048e-01,-6.741699086136e-01,1.141781212416e+00,-7.660036557583e-01,-7.660036557583e+02,5.867616006350e-01,8.980676460570e+01
7.936076072054e-02,1.259626068429e+01,3.174430428822e-01,-5.951843590842e-01,1.135410249097e+00,-7.648264586446e-01,-7.648264586446e+02,5.849595118429e-01,8.984740651078e+01
7.943013201488e-02,1.261829174380e+01,3.177205280595e-01,-5.166401514489e-01,1.129057162843e+00,-7.636539213825e-01,-7.636539213825e+02,5.831673116429e-01,8.988792374563e+01
7.949950330922e-02,1.264034205282e+01,3.179980132369e-01,-4.385360455523e-01,1.122721953657e+00,-7.624860300422e-01,-7.624860300422e+02,5.813849460095e-01,8.992831699435e+01
7.956887460355e-02,1.266241161135e+01,3.182754984142e-01,-3.608708012393e-01,1.116404621535e+00,-7.613227707027e-01,-7.613227707027e+02,5.796123611904e-01,8.996858693731e+01
7.963824589789e-02,1.268450041939e+01,3.185529835916e-01,-2.836431783549e-01,1.110105166479e+00,-7.601641294515e-01,-7.601641294515e+02,5.778495037048e-01,9.000873425117e+01
7.970761719222e-02,1.270660847692e+01,3.188304687689e-01,-2.068519367435e-01,1.103823588490e+00,-7.590100923849e-01,-7.590100923849e+02,5.760963203421e-01,9.004875960887e+01
7.977698848656e-02,1.272873578397e+01,3.191079539462e-01,-1.304958362503e-01,1.097559887566e+00,-7.578606456075e-01,-7.578606456075e+02,5.743527581607e-01,9.008866367969e+01
7.984635978090e-02,1.275088234052e+01,3.193854391236e-01,-5.457363671978e-02,1.091314063708e+00,-7.567157752328e-01,-7.567157752328e+02,5.726187644862e-01,9.012844712924e+01
7.991573107523e-02,1.277304814658e+01,3.196629243009e-01,2.091590200305e-02,1.085086116916e+00,-7.555754673827e-01,-7.555754673827e+02,5.708942869106e-01,9.016811061947e+01
7.998510236957e-02,1.279523320214e+01,3.199404094783e-01,9.597402007345e-02,1.078876047189e+00,-7.544397081877e-01,-7.544397081877e+02,5.691792732903e-01,9.020765480873e+01
8.005447366391e-02,1.281743750721e+01,3.202178946556e-01,1.706019576466e-01,1.072683854529e+00,-7.533084837868e-01,-7.533084837868e+02,5.674736717451e-01,9.024708035173e+01
8.012384495824e-02,1.283966106178e+01,3.204953798330e-01,2.448009548778e-01,1.066509538935e+00,-7.521817803277e-01,-7.521817803277e+02,5.657774306570e-01,9.028638789962e+01
8.019321625258e-02,1.286190386587e+01,3.207728650103e-01,3.185722519221e-01,1.060353100406e+00,-7.510595839667e-01,-7.510595839667e+02,5.640904986682e-01,9.032557809996e+01
8.026258754691e-02,1.288416591945e+01,3.210503501877e-01,3.919170889347e-01,1.054214538944e+00,-7.499418808685e-01,-7.499418808685e+02,5.624128246805e-01,9.036465159677e+01
8.033195884125e-02,1.290644722254e+01,3.213278353650e-01,4.648367060711e-01,1.048093329042e+00,-7.488286573688e-01,-7.488286573688e+02,5.607443580967e-01,9.040360903053e+01
8.040133013559e-02,1.292874777514e+01,3.216053205423e-01,5.373322705762e-01,1.041986843185e+00,-7.477199007861e-01,-7.477199007861e+02,5.590850500316e-01,9.044245103827e+01
8.047070142992e-02,1.295106757725e+01,3.218828057197e-01,6.094046580571e-01,1.035892453854e+00,-7.466156000711e-01,-7.466156000711e+02,5.574348542695e-01,9.048117825372e+01
8.054007272426e-02,1.297340662886e+01,3.221602908970e-01,6.810546712100e-01,1.029809635544e+00,-7.455157451552e-01,-7.455157451552e+02,5.557937262743e-01,9.051979130748e+01
8.060944401859e-02,1.299576492997e+01,3.224377760744e-01,7.522831127321e-01,1.023738388256e+00,-7.444203261389e-01,-7.444203261389e+02,5.541616219687e-01,9.055829082707e+01
8.067881531293e-02,1.301814248060e+01,3.227152612517e-01,8.230907853198e-01,1.017678711989e+00,-7.433293331285e-01,-7.433293331285e+02,5.525384974892e-01,9.059667743693e+01
8.074818660727e-02,1.304053928072e+01,3.229927464291e-01,8.934784916701e-01,1.011630606745e+00,-7.422427562365e-01,-7.422427562365e+02,5.509243091856e-01,9.063495175851e+01
8.081755790160e-02,1.306295533036e+01,3.232702316064e-01,9.634470344797e-01,1.005594072521e+00,-7.411605855818e-01,-7.411605855818e+02,5.493190136199e-01,9.067311441020e+01
8.088692919594e-02,1.308539062950e+01,3.235477167838e-01,1.032997216445e+00,9.995691093193e-01,-7.400828112888e-01,-7.400828112888e+02,5.477225675652e-01,9.071116600741e+01
8.095630049027e-02,1.310784517814e+01,3.238252019611e-01,1.102129840263e+00,9.935557171393e-01,-7.390094234887e-01,-7.390094234887e+02,5.461349280051e-01,9.074910716256e+01
8.102567178461e-02,1.313031897630e+01,3.241026871384e-01,1.170845708631e+00,9.875538959809e-01,-7.379404123182e-01,-7.379404123182e+02,5.445560521324e-01,9.078693848506e+01
8.109504307895e-02,1.315281202395e+01,3.243801723158e-01,1.239145624245e+00,9.815636458441e-01,-7.368757679205e-01,-7.368757679205e+02,5.429858973485e-01,9.082466058140e+01
8.116441437328e-02,1.317532432112e+01,3.246576574931e-01,1.307030389802e+00,9.755849667297e-01,-7.358154804447e-01,-7.358154804447e+02,5.414244212621e-01,9.086227405510e+01
8.123378566762e-02,1.319785586779e+01,3.249351426705e-01,1.374500807999e+00,9.696178586358e-01,-7.347595400461e-01,-7.347595400461e+02,5.398715816888e-01,9.089977950674e+01
8.130315696196e-02,1.322040666396e+01,3.252126278478e-01,1.441557681532e+00,9.636623215640e-01,-7.337079368859e-01,-7.337079368859e+02,5.383273366494e-01,9.093717753400e+01
8.137252825629e-02,1.324297670964e+01,3.254901130252e-01,1.508201813099e+00,9.577183555140e-01,-7.326606611316e-01,-7.326606611316e+02,5.367916443698e-01,9.097446873164e+01
8.144189955063e-02,1.326556600483e+01,3.257675982025e-01,1.574434005395e+00,9.517859604855e-01,-7.316177029567e-01,-7.316177029567e+02,5.352644632796e-01,9.101165369153e+01
8.151127084496e-02,1.328817454952e+01,3.260450833799e-01,1.640255061119e+00,9.458651364794e-01,-7.305790525406e-01,-7.305790525406e+02,5.337457520112e-01,9.104873300268e+01
8.158064213930e-02,1.331080234372e+01,3.263225685572e-01,1.705665782965e+00,9.399558834935e-01,-7.295447000691e-01,-7.295447000691e+02,5.322354693990e-01,9.108570725122e+01
8.165001343364e-02,1.333344938743e+01,3.266000537345e-01,1.770666973632e+00,9.340582015300e-01,-7.285146357338e-01,-7.285146357338e+02,5.307335744784e-01,9.112257702042e+01
8.171938472797e-02,1.335611568064e+01,3.268775389119e-01,1.835259435816e+00,9.281720905883e-01,-7.274888497325e-01,-7.274888497325e+02,5.292400264852e-01,9.115934289075e+01
8.178875602231e-02,1.337880122335e+01,3.271550240892e-01,1.899443972214e+00,9.222975506681e-01,-7.264673322690e-01,-7.264673322690e+02,5.277547848540e-01,9.119600543984e+01
8.185812731664e-02,1.340150601558e+01,3.274325092666e-01,1.963221385522e+00,9.164345817696e-01,-7.254500735531e-01,-7.254500735531e+02,5.262778092182e-01,9.123256524250e+01
8.192749861098e-02,1.342423005730e+01,3.277099944439e-01,2.026592478437e+00,9.105831838927e-01,-7.244370638008e-01,-7.244370638008e+02,5.248090594083e-01,9.126902287077e+01
8.199686990532e-02,1.344697334854e+01,3.279874796213e-01,2.089558053657e+00,9.047433570374e-01,-7.234282932340e-01,-7.234282932340e+02,5.233484954515e-01,9.130537889389e+01
8.206624119965e-02,1.346973588928e+01,3.282649647986e-01,2.152118913877e+00,8.989151012044e-01,-7.224237520808e-01,-7.224237520808e+02,5.218960775705e-01,9.134163387836e+01
8.213561249399e-02,1.349251767953e+01,3.285424499760e-01,2.214275861794e+00,8.930984163920e-01,-7.214234305751e-01,-7.214234305751e+02,5.204517661828e-01,9.137778838789e+01
8.220498378833e-02,1.351531871928e+01,3.288199351533e-01,2.276029700106e+00,8.872933026017e-01,-7.204273189571e-01,-7.204273189571e+02,5.190155218997e-01,9.141384298349e+01
8.227435508266e-02,1.353813900854e+01,3.290974203306e-01,2.337381231509e+00,8.814997598331e-01,-7.194354074729e-01,-7.194354074729e+02,5.175873055257e-01,9.144979822341e+01
8.234372637700e-02,1.356097854730e+01,3.293749055080e-01,2.398331258699e+00,8.757177880861e-01,-7.184476863746e-01,-7.184476863746e+02,5.161670780571e-01,9.148565466322e+01
8.241309767133e-02,1.358383733557e+01,3.296523906853e-01,2.458880584374e+00,8.699473873613e-01,-7.174641459205e-01,-7.174641459205e+02,5.147548006814e-01,9.152141285576e+01
