time_s,position_mm,velocity_m_per_s,source_charge_nC,source_current_uA,load_current_uA,voltage_V,power_mW,energy_uJ
3.430613465982e-01,9.999988049780e+01,-1.093170617703e-03,3.249999999794e+02,-4.006877295237e-07,1.687164475076e+00,1.687164475076e+03,2.846523965957e+00,1.530563217294e+03
3.431159916040e-01,9.999981329629e+01,-1.366395646850e-03,3.249999999497e+02,-7.659168438368e-07,1.686342985045e+00,1.686342985045e+03,2.843752663210e+00,1.530718689894e+03
3.431706366098e-01,9.999973116440e+01,-1.639620675998e-03,3.249999998957e+02,-1.307829278901e-06,1.685521894781e+00,1.685521894781e+03,2.840984057787e+00,1.530874011129e+03
3.432252816156e-01,9.999963410213e+01,-1.912845705146e-03,3.249999998068e+02,-2.061754413030e-06,1.684701203995e+00,1.684701203995e+03,2.838218146744e+00,1.531029181148e+03
3.432799266215e-01,9.999952210947e+01,-2.186070734294e-03,3.249999996704e+02,-3.063021190852e-06,1.683880912381e+00,1.683880912381e+03,2.835454927082e+00,1.531184200097e+03
3.433345716273e-01,9.999939518643e+01,-2.459295763442e-03,3.249999994720e+02,-4.346958990681e-06,1.683061019615e+00,1.683061019615e+03,2.832694395749e+00,1.531339068124e+03
3.433892166331e-01,9.999925333301e+01,-2.732520792590e-03,3.249999991953e+02,-5.948898491870e-06,1.682241525357e+00,1.682241525357e+03,2.829936549636e+00,1.531493785374e+03
3.434438616390e-01,9.999909654921e+01,-3.005745821738e-03,3.249999988218e+02,-7.904169072731e-06,1.681422429249e+00,1.681422429249e+03,2.827181385583e+00,1.531648351995e+03
3.434985066448e-01,9.999892483502e+01,-3.278970850886e-03,3.249999983314e+02,-1.024809881053e-05,1.680603730917e+00,1.680603730917e+03,2.824428900373e+00,1.531802768134e+03
3.435531516506e-01,9.999873819044e+01,-3.552195880034e-03,3.249999977018e+02,-1.301601838463e-05,1.679785429969e+00,1.679785429969e+03,2.821679090738e+00,1.531957033936e+03
3.436077966565e-01,9.999853661549e+01,-3.825420909182e-03,3.249999969089e+02,-1.624325760702e-05,1.678967525997e+00,1.678967525997e+03,2.818931953354e+00,1.532111149548e+03
3.436624416623e-01,9.999832011015e+01,-4.098645938330e-03,3.249999959266e+02,-1.996514628969e-05,1.678150018575e+00,1.678150018575e+03,2.816187484845e+00,1.532265115115e+03
3.437170866681e-01,9.999808867442e+01,-4.371870967478e-03,3.249999947269e+02,-2.421701294358e-05,1.677332907261e+00,1.677332907261e+03,2.813445681781e+00,1.532418930783e+03
3.437717316739e-01,9.999784230832e+01,-4.645095996626e-03,3.249999932799e+02,-2.903418738071e-05,1.676516191595e+00,1.676516191595e+03,2.810706540681e+00,1.532572596699e+03
3.438263766798e-01,9.999758101183e+01,-4.918321025774e-03,3.249999915538e+02,-3.445199941304e-05,1.675699871101e+00,1.675699871101e+03,2.807970058007e+00,1.532726113007e+03
3.438810216856e-01,9.999730478496e+01,-5.191546054922e-03,3.249999895147e+02,-4.050577885259e-05,1.674883945285e+00,1.674883945285e+03,2.805236230172e+00,1.532879479852e+03
3.439356666914e-01,9.999701362770e+01,-5.464771084070e-03,3.249999871269e+02,-4.723085507766e-05,1.674068413636e+00,1.674068413636e+03,2.802505053534e+00,1.533032697379e+03
3.439903116973e-01,9.999670754006e+01,-5.737996113218e-03,3.249999843528e+02,-5.466255703288e-05,1.673253275628e+00,1.673253275628e+03,2.799776524400e+00,1.533185765734e+03
3.440449567031e-01,9.999638652204e+01,-6.011221142365e-03,3.249999811528e+02,-6.283621539760e-05,1.672438530716e+00,1.672438530716e+03,2.797050639023e+00,1.533338685061e+03
3.440996017089e-01,9.999605057363e+01,-6.284446171513e-03,3.249999774854e+02,-7.178715911646e-05,1.671624178339e+00,1.671624178339e+03,2.794327393607e+00,1.533491455503e+03
3.441542467148e-01,9.999569969484e+01,-6.557671200662e-03,3.249999733072e+02,-8.155071713409e-05,1.670810217918e+00,1.670810217918e+03,2.791606784300e+00,1.533644077206e+03
3.442088917206e-01,9.999533388567e+01,-6.830896229809e-03,3.249999685728e+02,-9.216221969616e-05,1.669996648859e+00,1.669996648859e+03,2.788888807200e+00,1.533796550313e+03
3.442635367264e-01,9.999495314611e+01,-7.104121258957e-03,3.249999632348e+02,-1.036569961810e-04,1.669183470549e+00,1.669183470549e+03,2.786173458355e+00,1.533948874968e+03
3.443181817322e-01,9.999455747617e+01,-7.377346288105e-03,3.249999572441e+02,-1.160703768342e-04,1.668370682360e+00,1.668370682360e+03,2.783460733759e+00,1.534101051315e+03
3.443728267381e-01,9.999414687585e+01,-7.650571317253e-03,3.249999505495e+02,-1.294376892995e-04,1.667558283646e+00,1.667558283646e+03,2.780750629355e+00,1.534253079496e+03
3.444274717439e-01,9.999372134515e+01,-7.923796346401e-03,3.249999430978e+02,-1.437942655572e-04,1.666746273743e+00,1.666746273743e+03,2.778043141036e+00,1.534404959655e+03
3.444821167497e-01,9.999328088406e+01,-8.197021375549e-03,3.249999348342e+02,-1.591754328172e-04,1.665934651973e+00,1.665934651973e+03,2.775338264644e+00,1.534556691934e+03
3.445367617556e-01,9.999282549258e+01,-8.470246404697e-03,3.249999257015e+02,-1.756165213251e-04,1.665123417639e+00,1.665123417639e+03,2.772635995969e+00,1.534708276477e+03
3.445914067614e-01,9.999235517073e+01,-8.743471433845e-03,3.249999156410e+02,-1.931528617605e-04,1.664312570027e+00,1.664312570027e+03,2.769936330751e+00,1.534859713426e+03
3.446460517672e-01,9.999186991849e+01,-9.016696462993e-03,3.249999045919e+02,-2.118197826341e-04,1.663502108408e+00,1.663502108408e+03,2.767239264678e+00,1.535011002922e+03
3.447006967730e-01,9.999136973587e+01,-9.289921492141e-03,3.249998924913e+02,-2.316526128907e-04,1.662692032034e+00,1.662692032034e+03,2.764544793390e+00,1.535162145108e+03
3.447553417789e-01,9.999085462286e+01,-9.563146521289e-03,3.249998792746e+02,-2.526866819084e-04,1.661882340142e+00,1.661882340142e+03,2.761852912476e+00,1.535313140126e+03
3.448099867847e-01,9.999032457947e+01,-9.836371550437e-03,3.249998648751e+02,-2.749573199332e-04,1.661073031951e+00,1.661073031951e+03,2.759163617474e+00,1.535463988116e+03
3.448646317905e-01,9.998977960570e+01,-1.010959657958e-02,3.249998492245e+02,-2.984998567768e-04,1.660264106662e+00,1.660264106662e+03,2.756476903872e+00,1.535614689220e+03
3.449192767964e-01,9.998921970154e+01,-1.038282160873e-02,3.249998322521e+02,-3.233496205166e-04,1.659455563463e+00,1.659455563463e+03,2.753792767109e+00,1.535765243579e+03
3.449739218022e-01,9.998864486701e+01,-1.065604663788e-02,3.249998138856e+02,-3.495419413982e-04,1.658647401522e+00,1.658647401522e+03,2.751111202576e+00,1.535915651334e+03
3.450285668080e-01,9.998805510208e+01,-1.092927166703e-02,3.249997940506e+02,-3.771121488000e-04,1.657839619991e+00,1.657839619991e+03,2.748432205611e+00,1.536065912625e+03
3.450832118139e-01,9.998745040678e+01,-1.120249669618e-02,3.249997726710e+02,-4.060955707992e-04,1.657032218004e+00,1.657032218004e+03,2.745755771504e+00,1.536216027592e+03
3.451378568197e-01,9.998683078109e+01,-1.147572172532e-02,3.249997496684e+02,-4.365275389426e-04,1.656225194682e+00,1.656225194682e+03,2.743081895499e+00,1.536365996375e+03
