time_s,source_charge_centered_nC,transfer_charge_from_start_nC
6.103286475694e-01,1.181142055700e+02,-4.585974754558e+01
6.103980188637e-01,1.181234622320e+02,-4.585049088359e+01
6.104673901580e-01,1.181327188940e+02,-4.584123422160e+01
6.105367614524e-01,1.181419755560e+02,-4.583197755961e+01
6.106061327467e-01,1.181512322180e+02,-4.582272089762e+01
6.106755040410e-01,1.181604888800e+02,-4.581346423562e+01
6.107448753354e-01,1.181697455420e+02,-4.580420757363e+01
6.108142466297e-01,1.181790022040e+02,-4.579495091164e+01
6.108836179240e-01,1.181882588660e+02,-4.578569424965e+01
6.109529892184e-01,1.181975155280e+02,-4.577643758766e+01
6.110223605127e-01,1.182067721899e+02,-4.576718092567e+01
6.110917318071e-01,1.182019101049e+02,-4.577204301075e+01
6.111611031014e-01,1.181970480198e+02,-4.577690509584e+01
6.112304743957e-01,1.181921859347e+02,-4.578176718093e+01
6.112998456901e-01,1.181873238496e+02,-4.578662926601e+01
6.113692169844e-01,1.181824617645e+02,-4.579149135110e+01
6.114385882787e-01,1.181775996794e+02,-4.579635343618e+01
6.115079595731e-01,1.181727375943e+02,-4.580121552127e+01
6.115773308674e-01,1.181678755093e+02,-4.580607760636e+01
6.116467021617e-01,1.181630134242e+02,-4.581093969144e+01
6.117160734561e-01,1.181581513391e+02,-4.581580177653e+01
6.117854447504e-01,1.181532892540e+02,-4.582066386162e+01
6.118548160448e-01,1.181484271689e+02,-4.582552594670e+01
6.119241873391e-01,1.181435650838e+02,-4.583038803179e+01
6.119935586334e-01,1.181387029987e+02,-4.583525011688e+01
6.120629299278e-01,1.181338409136e+02,-4.584011220196e+01
6.121323012221e-01,1.181289788286e+02,-4.584497428705e+01
6.122016725164e-01,1.181241167435e+02,-4.584983637214e+01
6.122710438108e-01,1.181192546584e+02,-4.585469845722e+01
6.123404151051e-01,1.181143925733e+02,-4.585956054231e+01
6.124097863994e-01,1.181095304882e+02,-4.586442262740e+01
6.124791576938e-01,1.181046684031e+02,-4.586928471248e+01
6.125485289881e-01,1.180998063180e+02,-4.587414679757e+01
6.126179002824e-01,1.180949442330e+02,-4.587900888266e+01
6.126872715768e-01,1.180900821479e+02,-4.588387096774e+01
6.127566428711e-01,1.180852200628e+02,-4.588873305283e+01
6.128260141655e-01,1.180803579777e+02,-4.589359513791e+01
6.128953854598e-01,1.180754958926e+02,-4.589845722300e+01
6.129647567541e-01,1.180706338075e+02,-4.590331930809e+01
6.130341280485e-01,1.180657717224e+02,-4.590818139317e+01
6.131034993428e-01,1.180609096373e+02,-4.591304347826e+01
6.131728706371e-01,1.180560475523e+02,-4.591790556335e+01
6.132422419315e-01,1.180511854672e+02,-4.592276764843e+01
6.133116132258e-01,1.180463233821e+02,-4.592762973352e+01
6.133809845201e-01,1.180414612970e+02,-4.593249181861e+01
6.134503558145e-01,1.180365992119e+02,-4.593735390369e+01
6.135197271088e-01,1.180317371268e+02,-4.594221598878e+01
6.135890984032e-01,1.180268750417e+02,-4.594707807387e+01
6.136584696975e-01,1.180220129567e+02,-4.595194015895e+01
6.137278409918e-01,1.180171508716e+02,-4.595680224404e+01
6.137972122862e-01,1.180122887865e+02,-4.596166432913e+01
6.138665835805e-01,1.180074267014e+02,-4.596652641421e+01
6.139359548748e-01,1.180025646163e+02,-4.597138849930e+01
6.140053261692e-01,1.179977025312e+02,-4.597625058438e+01
6.140746974635e-01,1.179928404461e+02,-4.598111266947e+01
6.141440687578e-01,1.179879783610e+02,-4.598597475456e+01
6.142134400522e-01,1.179831162760e+02,-4.599083683964e+01
6.142828113465e-01,1.179782541909e+02,-4.599569892473e+01
6.143521826409e-01,1.179733921058e+02,-4.600056100982e+01
6.144215539352e-01,1.179685300207e+02,-4.600542309490e+01
6.144909252295e-01,1.179636679356e+02,-4.601028517999e+01
6.145602965239e-01,1.179588058505e+02,-4.601514726508e+01
6.146296678182e-01,1.179539437654e+02,-4.602000935016e+01
6.146990391125e-01,1.179490816804e+02,-4.602487143525e+01
6.147684104069e-01,1.179442195953e+02,-4.602973352034e+01
6.148377817012e-01,1.179393575102e+02,-4.603459560542e+01
6.149071529955e-01,1.179344954251e+02,-4.603945769051e+01
6.149765242899e-01,1.179296333400e+02,-4.604431977560e+01
6.150458955842e-01,1.179247712549e+02,-4.604918186068e+01
6.151152668786e-01,1.179199091698e+02,-4.605404394577e+01
6.151846381729e-01,1.179150470848e+02,-4.605890603086e+01
6.152540094672e-01,1.179101849997e+02,-4.606376811594e+01
6.153233807616e-01,1.179053229146e+02,-4.606863020103e+01
6.153927520559e-01,1.179004608295e+02,-4.607349228611e+01
6.154621233502e-01,1.178955987444e+02,-4.607835437120e+01
6.155314946446e-01,1.178907366593e+02,-4.608321645629e+01
6.156008659389e-01,1.178858745742e+02,-4.608807854137e+01
6.156702372332e-01,1.178810124891e+02,-4.609294062646e+01
6.157396085276e-01,1.178761504041e+02,-4.609780271155e+01
6.158089798219e-01,1.178712883190e+02,-4.610266479663e+01
6.158783511162e-01,1.178664262339e+02,-4.610752688172e+01
6.159477224106e-01,1.178615641488e+02,-4.611238896681e+01
6.160170937049e-01,1.178567020637e+02,-4.611725105189e+01
6.160864649993e-01,1.178518399786e+02,-4.612211313698e+01
6.161558362936e-01,1.178469778935e+02,-4.612697522207e+01
6.162252075879e-01,1.178421158085e+02,-4.613183730715e+01
6.162945788823e-01,1.178372537234e+02,-4.613669939224e+01
6.163639501766e-01,1.178323916383e+02,-4.614156147733e+01
6.164333214709e-01,1.178275295532e+02,-4.614642356241e+01
6.165026927653e-01,1.178226674681e+02,-4.615128564750e+01
6.165720640596e-01,1.178178053830e+02,-4.615614773258e+01
6.166414353539e-01,1.178129432979e+02,-4.616100981767e+01
6.167108066483e-01,1.178080812128e+02,-4.616587190276e+01
6.167801779426e-01,1.178032191278e+02,-4.617073398784e+01
6.168495492370e-01,1.177983570427e+02,-4.617559607293e+01
6.169189205313e-01,1.177934949576e+02,-4.618045815802e+01
