time_s,position_m,motion_velocity_m_per_s,source_charge_C,short_circuit_current_A
0.366394764087394,0.098613252162073,-0.117760258063875,6.43913209571925e-07,-5.86468101032128e-07
0.366449409093224,0.0986068096868929,-0.118033483093023,6.43881090917852e-07,-5.89070398215007e-07
0.366504054099053,0.0986003522813296,-0.118306708122171,6.43848829759787e-07,-5.9168372839172e-07
0.366558699104883,0.0985938799453829,-0.118579933151319,6.43816425493658e-07,-5.94308134416795e-07
0.366613344110712,0.0985873926790529,-0.118853158180467,6.43783877513053e-07,-5.96943659272093e-07
0.366667989116542,0.0985808904823396,-0.119126383209615,6.43751185209204e-07,-5.9959034606684e-07
0.366722634122372,0.098574373355243,-0.119399608238763,6.43718347970987e-07,-6.02248238037634e-07
0.366777279128201,0.0985678412977631,-0.119672833267911,6.43685365184909e-07,-6.04917378548436e-07
0.366831924134031,0.0985612943098999,-0.119946058297059,6.43652236235106e-07,-6.07597811090593e-07
0.36688656913986,0.0985547323916533,-0.120219283326207,6.43618960503333e-07,-6.1028957928282e-07
0.36694121414569,0.0985481555430235,-0.120492508355355,6.43585537368957e-07,-6.12992726871188e-07
0.36699585915152,0.0985415637640103,-0.120765733384502,6.43551966208954e-07,-6.15707297729121e-07
0.367050504157349,0.0985349570546139,-0.12103895841365,6.43518246397895e-07,-6.18433335857376e-07
0.367105149163179,0.0985283354148341,-0.121312183442799,6.43484377307947e-07,-6.21170885384015e-07
0.367159794169008,0.098521698844671,-0.121585408471946,6.4345035830886e-07,-6.23919990564373e-07
0.367214439174838,0.0985150473441246,-0.121858633501094,6.43416188767962e-07,-6.26680695781041e-07
0.367269084180668,0.0985083809131949,-0.122131858530242,6.43381868050153e-07,-6.29453045543816e-07
0.367323729186497,0.0985016995518819,-0.12240508355939,6.43347395517898e-07,-6.32237084489658e-07
0.367378374192327,0.0984950032601856,-0.122678308588538,6.43312770531217e-07,-6.35032857382659e-07
0.367433019198156,0.0984882920381059,-0.122951533617686,6.43277992447683e-07,-6.37840409113959e-07
0.367487664203986,0.098481565885643,-0.123224758646834,6.43243060622411e-07,-6.40659784701718e-07
0.367542309209815,0.0984748248027967,-0.123497983675982,6.43207974408053e-07,-6.43491029291038e-07
0.367596954215645,0.0984680687895671,-0.12377120870513,6.43172733154789e-07,-6.46334188153902e-07
0.367651599221475,0.0984612978459542,-0.124044433734278,6.43137336210325e-07,-6.49189306689083e-07
0.367706244227304,0.0984545119719581,-0.124317658763426,6.4310178291988e-07,-6.52056430422092e-07
0.367760889233134,0.0984477111675786,-0.124590883792574,6.43066072626183e-07,-6.54935605005072e-07
0.367815534238963,0.0984408954328157,-0.124864108821722,6.43030204669463e-07,-6.57826876216719e-07
0.367870179244793,0.0984340647676696,-0.12513733385087,6.42994178387447e-07,-6.60730289962173e-07
0.367924824250623,0.0984272191721402,-0.125410558880018,6.42957993115347e-07,-6.63645892272934e-07
0.367979469256452,0.0984203586462274,-0.125683783909166,6.4292164818586e-07,-6.66573729306748e-07
