time_s,shape_matched_short_circuit_current_A,shape_matched_short_circuit_current_uA,integrated_transferred_charge_C,integrated_transferred_charge_nC
2.021865215695e-03,-5.352229861255e-07,-5.352229861255e-01,-1.082155164782e-09,-1.082155164782e+00
2.076510221524e-03,-5.352228049831e-07,-5.352228049831e-01,-1.111402423029e-09,-1.111402423029e+00
2.131155227354e-03,-5.352226230801e-07,-5.352226230801e-01,-1.140649671358e-09,-1.140649671358e+00
2.185800233184e-03,-5.352224404129e-07,-5.352224404129e-01,-1.169896909726e-09,-1.169896909726e+00
2.240445239013e-03,-5.352222569780e-07,-5.352222569780e-01,-1.199144138090e-09,-1.199144138090e+00
2.295090244843e-03,-5.352220727719e-07,-5.352220727719e-01,-1.228391356410e-09,-1.228391356410e+00
2.349735250672e-03,-5.352218877908e-07,-5.352218877908e-01,-1.257638564642e-09,-1.257638564642e+00
2.404380256502e-03,-5.352217020314e-07,-5.352217020314e-01,-1.286885762745e-09,-1.286885762745e+00
2.459025262332e-03,-5.352215154898e-07,-5.352215154898e-01,-1.316132950676e-09,-1.316132950676e+00
2.513670268161e-03,-5.352213281625e-07,-5.352213281625e-01,-1.345380128392e-09,-1.345380128392e+00
2.568315273991e-03,-5.352211400458e-07,-5.352211400458e-01,-1.374627295850e-09,-1.374627295850e+00
2.622960279820e-03,-5.352209511361e-07,-5.352209511361e-01,-1.403874453006e-09,-1.403874453006e+00
2.677605285650e-03,-5.352207614296e-07,-5.352207614296e-01,-1.433121599818e-09,-1.433121599818e+00
2.732250291479e-03,-5.352205709227e-07,-5.352205709227e-01,-1.462368736241e-09,-1.462368736241e+00
2.786895297309e-03,-5.352203796116e-07,-5.352203796116e-01,-1.491615862232e-09,-1.491615862232e+00
2.841540303139e-03,-5.352201874926e-07,-5.352201874926e-01,-1.520862977747e-09,-1.520862977747e+00
2.896185308968e-03,-5.352199945619e-07,-5.352199945619e-01,-1.550110082741e-09,-1.550110082741e+00
2.950830314798e-03,-5.352198008157e-07,-5.352198008157e-01,-1.579357177171e-09,-1.579357177171e+00
3.005475320627e-03,-5.352196062504e-07,-5.352196062504e-01,-1.608604260990e-09,-1.608604260990e+00
3.060120326457e-03,-5.352194108620e-07,-5.352194108620e-01,-1.637851334155e-09,-1.637851334155e+00
3.114765332287e-03,-5.352192146467e-07,-5.352192146467e-01,-1.667098396621e-09,-1.667098396621e+00
