electrode_count,load,resistance_ohm,event_count,source_charge_peak_to_peak_nC,modeled_total_transfer_charge_nC,source_current_peak_uA,load_current_peak_uA,load_current_rms_uA,voltage_peak_V,voltage_rms_V,power_peak_mW,power_mean_mW,energy_uJ,duration_s
6,1M,1.000000000000e+06,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,8.060437511363e+00,3.176481625172e+00,8.060437511363e+00,3.176481625172e+00,6.497065287459e-02,1.009003551505e-02,7.290209493721e+00,7.224555320337e-01
6,2M,2.000000000000e+06,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,8.059893231954e+00,3.176395447962e+00,1.611978646391e+01,6.352790895923e+00,1.299237578210e-01,2.017897608366e-02,1.457962787140e+01,7.224555320337e-01
6,5M,5.000000000000e+06,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,8.056152803098e+00,3.175808127915e+00,4.028076401549e+01,1.587904063958e+01,3.245079899343e-01,5.042878632666e-02,3.643559195475e+01,7.224555320337e-01
6,10M,1.000000000000e+07,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,8.042912435772e+00,3.173744445571e+00,8.042912435772e+01,3.173744445571e+01,6.468844044949e-01,1.007265380579e-01,7.277650935163e+01,7.224555320337e-01
6,20M,2.000000000000e+07,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,7.992269579657e+00,3.165707694973e+00,1.598453915931e+02,6.331415389947e+01,1.277527460678e+00,2.004341042003e-01,1.448167954539e+02,7.224555320337e-01
6,50M,5.000000000000e+07,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,7.703336947710e+00,3.116042840508e+00,3.851668473855e+02,1.558021420254e+02,2.967070006498e+00,4.854861491941e-01,3.507713851528e+02,7.224555320337e-01
6,100M,1.000000000000e+08,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,7.050291353015e+00,2.991245318662e+00,7.050291353015e+02,2.991245318662e+02,4.970660816240e+00,8.947548556418e-01,6.464744622728e+02,7.224555320337e-01
6,200M,2.000000000000e+08,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,5.841469336286e+00,2.757127263190e+00,1.168293867257e+03,5.514254526380e+02,6.824552801354e+00,1.520350149085e+00,1.098476336712e+03,7.224555320337e-01
6,500M,5.000000000000e+08,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,3.761719543856e+00,2.349104040434e+00,1.880859771928e+03,1.174552020217e+03,7.075266963315e+00,2.759144896392e+00,1.993509307320e+03,7.224555320337e-01
6,1G,1.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,2.771464863905e+00,1.888708850784e+00,2.771464863905e+03,1.888708850784e+03,7.681017491863e+00,3.567221123028e+00,2.577308565258e+03,7.224555320337e-01
6,2G,2.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,1.953979643608e+00,1.290624070046e+00,3.907959287217e+03,2.581248140092e+03,7.636072895271e+00,3.331420980365e+00,2.406911590837e+03,7.224555320337e-01
6,5G,5.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,1.122497573094e+00,6.547786275349e-01,5.612487865470e+03,3.273893137675e+03,6.300004008009e+00,2.143675255382e+00,1.548804441595e+03,7.224555320337e-01
6,10G,1.000000000000e+10,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,6.438580964164e-01,3.694805290313e-01,6.438580964164e+03,3.694805290313e+03,4.145532483210e+00,1.365158613333e+00,9.863403292080e+02,7.224555320337e-01
