time_s,short_circuit_current_A,integrated_transferred_charge_C,short_circuit_current_uA,integrated_transferred_charge_nC
3.404930313242e-01,-1.242955149522e-09,6.483917139005e-07,-1.242955149522e-03,6.483917139005e+02
3.405476763300e-01,-1.249718751021e-09,6.483916457944e-07,-1.249718751021e-03,6.483916457944e+02
3.406023213358e-01,-1.256508439319e-09,6.483915773180e-07,-1.256508439319e-03,6.483915773180e+02
3.406569663417e-01,-1.263324354699e-09,6.483915084699e-07,-1.263324354699e-03,6.483915084699e+02
3.407116113475e-01,-1.270166637969e-09,6.483914392486e-07,-1.270166637969e-03,6.483914392486e+02
3.407662563533e-01,-1.277035430461e-09,6.483913696527e-07,-1.277035430461e-03,6.483913696527e+02
3.408209013591e-01,-1.283930874039e-09,6.483912996806e-07,-1.283930874039e-03,6.483912996806e+02
3.408755463650e-01,-1.290853111098e-09,6.483912293311e-07,-1.290853111098e-03,6.483912293311e+02
3.409301913708e-01,-1.297802284570e-09,6.483911586026e-07,-1.297802284570e-03,6.483911586026e+02
3.409848363766e-01,-1.304778537923e-09,6.483910874935e-07,-1.304778537923e-03,6.483910874935e+02
3.410394813825e-01,-1.311782015166e-09,6.483910160026e-07,-1.311782015166e-03,6.483910160026e+02
3.410941263883e-01,-1.318812860851e-09,6.483909441281e-07,-1.318812860851e-03,6.483909441281e+02
3.411487713941e-01,-1.325871220076e-09,6.483908718687e-07,-1.325871220076e-03,6.483908718687e+02
3.412034164000e-01,-1.332957238488e-09,6.483907992229e-07,-1.332957238488e-03,6.483907992229e+02
3.412580614058e-01,-1.340071062286e-09,6.483907261891e-07,-1.340071062286e-03,6.483907261891e+02
3.413127064116e-01,-1.347212838223e-09,6.483906527657e-07,-1.347212838223e-03,6.483906527657e+02
3.413673514174e-01,-1.354382713609e-09,6.483905789514e-07,-1.354382713609e-03,6.483905789514e+02
3.414219964233e-01,-1.361580836313e-09,6.483905047445e-07,-1.361580836313e-03,6.483905047445e+02
3.414766414291e-01,-1.368807354769e-09,6.483904301434e-07,-1.368807354769e-03,6.483904301434e+02
3.415312864349e-01,-1.376062417973e-09,6.483903551467e-07,-1.376062417973e-03,6.483903551467e+02
3.415859314408e-01,-1.383346175494e-09,6.483902797528e-07,-1.383346175494e-03,6.483902797528e+02
3.416405764466e-01,-1.390658777467e-09,6.483902039600e-07,-1.390658777467e-03,6.483902039600e+02
3.416952214524e-01,-1.398000374605e-09,6.483901277669e-07,-1.398000374605e-03,6.483901277669e+02
3.417498664582e-01,-1.405371118197e-09,6.483900511717e-07,-1.405371118197e-03,6.483900511717e+02
3.418045114641e-01,-1.412771160111e-09,6.483899741730e-07,-1.412771160111e-03,6.483899741730e+02
3.418591564699e-01,-1.420200652796e-09,6.483898967691e-07,-1.420200652796e-03,6.483898967691e+02
3.419138014757e-01,-1.427659749291e-09,6.483898189585e-07,-1.427659749291e-03,6.483898189585e+02
3.419684464816e-01,-1.435148603219e-09,6.483897407394e-07,-1.435148603219e-03,6.483897407394e+02
3.420230914874e-01,-1.442667368797e-09,6.483896621102e-07,-1.442667368797e-03,6.483896621102e+02
3.420777364932e-01,-1.450216200834e-09,6.483895830694e-07,-1.450216200834e-03,6.483895830694e+02
3.421323814991e-01,-1.457795254737e-09,6.483895036153e-07,-1.457795254737e-03,6.483895036153e+02
3.421870265049e-01,-1.465404686515e-09,6.483894237461e-07,-1.465404686515e-03,6.483894237461e+02
3.422416715107e-01,-1.473044652777e-09,6.483893434603e-07,-1.473044652777e-03,6.483893434603e+02
3.422963165165e-01,-1.480715310739e-09,6.483892627562e-07,-1.480715310739e-03,6.483892627562e+02
3.423509615224e-01,-1.488416818226e-09,6.483891816321e-07,-1.488416818226e-03,6.483891816321e+02
3.424056065282e-01,-1.496149333675e-09,6.483891000863e-07,-1.496149333675e-03,6.483891000863e+02
3.424602515340e-01,-1.503913016138e-09,6.483890181171e-07,-1.503913016138e-03,6.483890181171e+02
3.425148965399e-01,-1.511708025283e-09,6.483889357228e-07,-1.511708025283e-03,6.483889357228e+02
3.425695415457e-01,-1.519534521400e-09,6.483888529016e-07,-1.519534521400e-03,6.483888529016e+02
3.426241865515e-01,-1.527392665405e-09,6.483887696520e-07,-1.527392665405e-03,6.483887696520e+02
3.426788315574e-01,-1.535282618836e-09,6.483886859720e-07,-1.535282618836e-03,6.483886859720e+02
3.427334765632e-01,-1.543204543865e-09,6.483886018600e-07,-1.543204543865e-03,6.483886018600e+02
3.427881215690e-01,-1.551158603294e-09,6.483885173143e-07,-1.551158603294e-03,6.483885173143e+02
3.428427665748e-01,-7.795724802814e-08,6.483863449456e-07,-7.795724802814e-02,6.483863449456e+02
3.428974115807e-01,-7.835818898747e-08,6.483820740166e-07,-7.835818898747e-02,6.483820740166e+02
3.429520565865e-01,-7.876076127868e-08,6.483777811336e-07,-7.876076127868e-02,6.483777811336e+02
3.430067015923e-01,-7.916497317001e-08,6.483734662073e-07,-7.916497317001e-02,6.483734662073e+02
3.430613465982e-01,-7.957083296214e-08,6.483691291478e-07,-7.957083296214e-02,6.483691291478e+02
3.431159916040e-01,-7.997834898826e-08,6.483647698648e-07,-7.997834898826e-02,6.483647698648e+02
3.431706366098e-01,-8.038752961432e-08,6.483603882676e-07,-8.038752961432e-02,6.483603882676e+02
3.432252816156e-01,-8.079838323913e-08,6.483559842650e-07,-8.079838323913e-02,6.483559842650e+02
3.432799266215e-01,-8.121091829450e-08,6.483515577654e-07,-8.121091829450e-02,6.483515577654e+02
