electrode_count,load,resistance_ohm,event_count,source_charge_peak_to_peak_nC,modeled_total_transfer_charge_nC,source_current_peak_uA,load_current_peak_uA,load_current_rms_uA,voltage_peak_V,voltage_rms_V,power_peak_mW,power_mean_mW,energy_uJ,duration_s
4,10M,1.000000000000e+07,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,7.982407329498e+00,2.903262835800e+00,7.982407329498e+01,2.903262835800e+01,6.371882677403e-01,8.428935093736e-02,6.090038290813e+01,7.224555320337e-01
4,20M,2.000000000000e+07,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,7.932016137187e+00,2.895704538094e+00,1.586403227437e+02,5.791409076188e+01,1.258337600012e+00,1.677020954387e-01,1.211674038670e+02,7.224555320337e-01
4,50M,5.000000000000e+07,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,7.644664072677e+00,2.848566120799e+00,3.822332036339e+02,1.424283060400e+02,2.922044439204e+00,4.057164472283e-01,2.931365197802e+02,7.224555320337e-01
4,100M,1.000000000000e+08,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,6.996297463018e+00,2.725830528906e+00,6.996297463018e+02,2.725830528906e+02,4.894817819103e+00,7.430152072319e-01,5.368401832128e+02,7.224555320337e-01
4,200M,2.000000000000e+08,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,5.800916581752e+00,2.466488607352e+00,1.160183316350e+03,4.932977214704e+02,6.730126637688e+00,1.216713210039e+00,8.790943165027e+02,7.224555320337e-01
4,500M,5.000000000000e+08,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,3.745296591383e+00,1.975083546199e+00,1.872648295692e+03,9.875417730995e+02,7.013623278713e+00,1.950477507233e+00,1.409241100912e+03,7.224555320337e-01
4,1G,1.000000000000e+09,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,2.358428739332e+00,1.530370001890e+00,2.358428739332e+03,1.530370001890e+03,5.562186118507e+00,2.342032342686e+00,1.692112828126e+03,7.224555320337e-01
4,2G,2.000000000000e+09,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,1.698837961071e+00,1.027185433512e+00,3.397675922143e+03,2.054370867025e+03,5.772100835955e+00,2.110219829640e+00,1.524608046556e+03,7.224555320337e-01
4,5G,5.000000000000e+09,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,9.083074578704e-01,5.169478661001e-01,4.541537289352e+03,2.584739330501e+03,4.125112190115e+00,1.336175481327e+00,9.653865299127e+02,7.224555320337e-01
4,10G,1.000000000000e+10,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,5.082126040559e-01,2.908850329870e-01,5.082126040559e+03,2.908850329870e+03,2.582800509213e+00,8.461410241587e-01,6.113452214078e+02,7.224555320337e-01
6,100K,1.000000000000e+05,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,8.003185229280e+00,3.153879936911e+00,8.003185229280e-01,3.153879936911e-01,6.405097381417e-03,9.946958656449e-04,7.186834211110e-01,7.224555320337e-01
6,200K,2.000000000000e+05,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,8.003179263823e+00,3.153879214462e+00,1.600635852765e+00,6.307758428923e-01,1.281017566578e-02,1.989390819882e-03,1.437366183716e+00,7.224555320337e-01
6,500K,5.000000000000e+05,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,8.003146540730e+00,3.153872717072e+00,4.001573270365e+00,1.576936358536e+00,3.202517727620e-02,4.973456557744e-03,3.593400653524e+00,7.224555320337e-01
6,1M,1.000000000000e+06,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,8.003010125492e+00,3.153850467031e+00,8.003010125492e+00,3.153850467031e+00,6.404817106873e-02,9.946772768392e-03,7.186699904062e+00,7.224555320337e-01
6,2M,2.000000000000e+06,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,8.002469723855e+00,3.153764903799e+00,1.600493944771e+01,6.307529807598e+00,1.280790433624e-01,1.989246613687e-02,1.437261992469e+01,7.224555320337e-01
6,5M,5.000000000000e+06,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,7.998755944055e+00,3.153181768173e+00,3.999377972027e+01,1.576590884086e+01,3.199004832628e-01,4.971277631568e-02,3.591826345062e+01,7.224555320337e-01
6,10M,1.000000000000e+07,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,7.985609909038e+00,3.151132788738e+00,7.985609909038e+01,3.151132788738e+01,6.376996561932e-01,9.929637852257e-02,7.174319657422e+01,7.224555320337e-01
6,20M,2.000000000000e+07,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,7.935327862971e+00,3.143153296766e+00,1.587065572594e+02,6.286306593532e+01,1.259388565857e+00,1.975882529394e-01,1.427606231195e+02,7.224555320337e-01
6,50M,5.000000000000e+07,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,7.648453760195e+00,3.093842284478e+00,3.824226880097e+02,1.546921142239e+02,2.924942246092e+00,4.785930040613e-01,3.457909792848e+02,7.224555320337e-01
6,100M,1.000000000000e+08,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,7.000060853558e+00,2.969933894945e+00,7.000060853558e+02,2.969933894945e+02,4.900085195352e+00,8.820507340342e-01,6.372955345105e+02,7.224555320337e-01
6,200M,2.000000000000e+08,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,5.799851209086e+00,2.737483836761e+00,1.159970241817e+03,5.474967673522e+02,6.727654809508e+00,1.498763551306e+00,1.082879688226e+03,7.224555320337e-01
6,500M,5.000000000000e+08,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,3.734918800165e+00,2.332367615892e+00,1.867459400082e+03,1.166183807946e+03,6.974809221911e+00,2.719969347832e+00,1.965204588428e+03,7.224555320337e-01
6,1G,1.000000000000e+09,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,2.751719287819e+00,1.875252557398e+00,2.751719287819e+03,1.875252557398e+03,7.571959038957e+00,3.516572154026e+00,2.540714808626e+03,7.224555320337e-01
6,2G,2.000000000000e+09,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,1.940058321990e+00,1.281428890953e+00,3.880116643980e+03,2.562857781906e+03,7.527652585446e+00,3.284120005138e+00,2.372737205132e+03,7.224555320337e-01
6,5G,5.000000000000e+09,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,1.114500227890e+00,6.501135923118e-01,5.572501139452e+03,3.250567961559e+03,6.210553789839e+00,2.113238414543e+00,1.526813837299e+03,7.224555320337e-01
6,10G,1.000000000000e+10,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,6.392708655996e-01,3.668481283853e-01,6.392708655996e+03,3.668481283853e+03,4.086672396044e+00,1.345775492998e+00,9.723358369053e+02,7.224555320337e-01
