resistance_ohm,energy_N2_J,energy_N4_J,energy_N6_J
2.238721138568e+07,5.140116993064e-06,1.183808540133e-05,1.854069161065e-05
2.511886431510e+07,5.767282764567e-06,1.328241555235e-05,2.080269135132e-05
2.818382931264e+07,6.470968118210e-06,1.490294410341e-05,2.334061142457e-05
3.162277660168e+07,7.260508176519e-06,1.672116037257e-05,2.618809464561e-05
3.548133892336e+07,8.146376656093e-06,1.876117286617e-05,2.938288150550e-05
3.981071705535e+07,9.140324665402e-06,2.105002800058e-05,3.296730783923e-05
4.466835921510e+07,1.025553639955e-05,2.361806744162e-05,3.698886244546e-05
5.011872336273e+07,1.150680378162e-05,2.649932868381e-05,4.150081170252e-05
5.623413251903e+07,1.291072234650e-05,2.973199402408e-05,4.656289898579e-05
6.309573444802e+07,1.448591093762e-05,3.335889367064e-05,5.224212750765e-05
7.079457843841e+07,1.625325809397e-05,3.742806937003e-05,5.861363606448e-05
7.943282347243e+07,1.823619834565e-05,4.199340563352e-05,6.576167807200e-05
8.912509381337e+07,2.046102201619e-05,4.711533639825e-05,7.378071517570e-05
1.000000000000e+08,2.295722255056e-05,5.286163576251e-05,8.277663759960e-05
1.122018454302e+08,2.575788585431e-05,5.930830227964e-05,9.286812418542e-05
1.258925411794e+08,2.890012664252e-05,6.654054716296e-05,1.041881556890e-04
1.412537544623e+08,3.242557736191e-05,7.465389761742e-05,1.168856952126e-04
1.584893192461e+08,3.638093586488e-05,8.375542732791e-05,1.311275494803e-04
1.778279410039e+08,4.081857868165e-05,9.396512683389e-05,1.471004237370e-04
1.995262314969e+08,4.579724745235e-05,1.054174270073e-04,1.650131810067e-04
2.238721138568e+08,5.138281683811e-05,1.182628889842e-04,1.850993127415e-04
2.511886431510e+08,5.764915301655e-05,1.326700734749e-04,2.076196217985e-04
2.818382931264e+08,6.467907266111e-05,1.488276011055e-04,2.328651091622e-04
3.162277660168e+08,7.256541307186e-05,1.669464129086e-04,2.611600414685e-04
3.548133892336e+08,8.141222481697e-05,1.872622357167e-04,2.928651552264e-04
3.981071705535e+08,9.133609878321e-05,2.100382502019e-04,3.283809230305e-04
4.466835921510e+08,1.024676398094e-04,2.355679485580e-04,3.681507634510e-04
5.011872336273e+08,1.149530989296e-04,2.641781527964e-04,4.126640149394e-04
5.623413251903e+08,1.289561754545e-04,2.962321412596e-04,4.624584088430e-04
6.309573444802e+08,1.446599983496e-04,3.321327974539e-04,5.181216596019e-04
7.079457843841e+08,1.622692931760e-04,3.723256479311e-04,5.802916317151e-04
7.943282347243e+08,1.820127356171e-04,4.173015898380e-04,6.496543316896e-04
8.912509381337e+08,2.041454844678e-04,4.675990176019e-04,7.269386965550e-04
1.000000000000e+09,2.289518747237e-04,5.238049341688e-04,8.129067971526e-04
1.122018454302e+09,2.567482335041e-04,5.865544657516e-04,9.083376375880e-04
1.258925411794e+09,2.878857558383e-04,6.565279794031e-04,1.014002217395e-03
1.412537544623e+09,3.227533410519e-04,7.344447188361e-04,1.130626960534e-03
1.584893192461e+09,3.617802399804e-04,8.210515168335e-04,1.258842081842e-03
1.778279410039e+09,4.054382938978e-04,9.171047100784e-04,1.399111110907e-03
1.995262314969e+09,4.542434521841e-04,1.023342887332e-03,1.551637897720e-03
2.238721138568e+09,5.087561305582e-04,1.140447587285e-03,1.716248414870e-03
2.511886431510e+09,5.695798074999e-04,1.268988623242e-03,1.892247153320e-03
2.818382931264e+09,6.373570454058e-04,1.409350527287e-03,2.078252606206e-03
3.162277660168e+09,7.127618584727e-04,1.561636976949e-03,2.272023887276e-03
3.548133892336e+09,7.964870289713e-04,1.725551441272e-03,2.470301072964e-03
3.981071705535e+09,8.892246048698e-04,1.900255245279e-03,2.668694356196e-03
4.466835921510e+09,9.916374214474e-04,2.084209421702e-03,2.861668576355e-03
5.011872336273e+09,1.104319139076e-03,2.275014500941e-03,3.042674758004e-03
5.623413251903e+09,1.227740096903e-03,2.469272536755e-03,3.204471803721e-03
6.309573444802e+09,1.362176447905e-03,2.662506684774e-03,3.339653153281e-03
7.079457843841e+09,1.507620863798e-03,2.849182263612e-03,3.441344300689e-03
7.943282347243e+09,1.663674962695e-03,3.022874300160e-03,3.503977255008e-03
8.912509381337e+09,1.829426909678e-03,3.176614149436e-03,3.523998477856e-03
1.000000000000e+10,2.003322605034e-03,3.303417783727e-03,3.500353150219e-03
1.122018454302e+10,2.183045339107e-03,3.396952403713e-03,3.434626756795e-03
1.258925411794e+10,2.365425924586e-03,3.452246760034e-03,3.330808090032e-03
1.412537544623e+10,2.546411452909e-03,3.466312958533e-03,3.194735439069e-03
1.584893192461e+10,2.721123510425e-03,3.438543907250e-03,3.033361099170e-03
1.778279410039e+10,2.884033034001e-03,3.370791082432e-03,2.853992713284e-03
1.995262314969e+10,3.029266341446e-03,3.267102734138e-03,2.663643125264e-03
2.238721138568e+10,3.151034036284e-03,3.133185971215e-03,2.468564234921e-03
2.511886431510e+10,3.244143429718e-03,2.975715930126e-03,2.273981544085e-03
2.818382931264e+10,3.304522723743e-03,2.801632348890e-03,2.084003493424e-03
3.162277660168e+10,3.329663264315e-03,2.617539768509e-03,1.901659200295e-03
3.548133892336e+10,3.318887637833e-03,2.429279491652e-03,1.729015836951e-03
3.981071705535e+10,3.273382843136e-03,2.241690454359e-03,1.567334843228e-03
4.466835921510e+10,3.195992727942e-03,2.058537337390e-03,1.417237549646e-03
5.011872336273e+10,3.090822958330e-03,1.882563140572e-03,1.278861467790e-03
5.623413251903e+10,2.962751951453e-03,1.715618288365e-03,1.151996886042e-03
6.309573444802e+10,2.816948387168e-03,1.558823927816e-03,1.036199374256e-03
7.079457843841e+10,2.658472113460e-03,1.412737930514e-03,9.308777869630e-04
7.943282347243e+10,2.491995421173e-03,1.277503991885e-03,8.353598399692e-04
8.912509381337e+10,2.321643823975e-03,1.152974529988e-03,7.489386875006e-04
1.000000000000e+11,2.150931581003e-03,1.038805622447e-03,6.709044228647e-04
1.122018454302e+11,1.982759718832e-03,9.345268022076e-04,6.005643055026e-04
1.258925411794e+11,1.819448658804e-03,8.395906081310e-04,5.372550101968e-04
1.412537544623e+11,1.662786846093e-03,7.534070926754e-04,4.803495082533e-04
1.584893192461e+11,1.514085584087e-03,6.753677881072e-04,4.292604902216e-04
1.778279410039e+11,1.374236057319e-03,6.048625429095e-04,3.834416310096e-04
1.995262314969e+11,1.243767143904e-03,5.412915655881e-04,3.423875288704e-04
2.238721138568e+11,1.122903143015e-03,4.840741550339e-04,3.056328229188e-04
2.511886431510e+11,1.011620200829e-03,4.326550065670e-04,2.727507866652e-04
2.818382931264e+11,9.096998521406e-04,3.865086270754e-04,2.433515750356e-04
3.162277660168e+11,8.167780660927e-04,3.451422048113e-04,2.170802384364e-04
3.548133892336e+11,7.323885083061e-04,3.080971932864e-04,1.936145854348e-04
3.981071705535e+11,6.559992617705e-04,2.749498336670e-04,1.726629593395e-04
4.466835921510e+11,5.870428160605e-04,2.453108240087e-04,1.539619839856e-04
5.011872336273e+11,5.249396166285e-04,2.188243298857e-04,1.372743257604e-04
5.623413251903e+11,4.691158045015e-04,1.951665131281e-04,1.223865106809e-04
6.309573444802e+11,4.190159646156e-04,1.740437328956e-04,1.091068269532e-04
7.079457843841e+11,3.741117618654e-04,1.551905480730e-04,9.726333529064e-05
7.943282347243e+11,3.339073135257e-04,1.383676243748e-04,8.670200180144e-05
8.912509381337e+11,2.979420605762e-04,1.233596255504e-04,7.728496181163e-05
1.000000000000e+12,2.657917877009e-04,1.099731469545e-04,6.888891772313e-05
1.122018454302e+12,2.370683230260e-04,9.803473204734e-05,6.140366992069e-05
1.258925411794e+12,2.114183368787e-04,8.738899817163e-05,5.473077674013e-05
