time_s,Q_analytical_nC,Isrc_analytical_uA,Iload_analytical_uA,Q_empirical_nC,Isrc_empirical_uA,Iload_empirical_uA
5.411862935375e-03,-3.249950473041e+02,3.663019181380e-03,4.380376217242e-05,-3.249987480006e+02,8.882824003263e-04,1.106579389313e-05
5.550628651666e-03,-3.249945194634e+02,3.951946176556e-03,4.845561770313e-05,-3.249986201053e+02,9.567907104623e-04,1.219235925556e-05
5.689394367958e-03,-3.249939505148e+02,4.255683211211e-03,5.346798591109e-05,-3.249984824611e+02,1.028841188459e-03,1.340439656599e-05
5.828160084250e-03,-3.249933383775e+02,4.574600476854e-03,5.885895498911e-05,-3.249983345695e+02,1.104530998131e-03,1.470623829974e-05
5.966925800541e-03,-3.249926809194e+02,4.909068152415e-03,6.464704831708e-05,-3.249981759190e+02,1.183957937982e-03,1.610233206263e-05
6.105691516833e-03,-3.249919759568e+02,5.259456410753e-03,7.085122391258e-05,-3.249980059840e+02,1.267220461378e-03,1.759724124559e-05
6.244457233125e-03,-3.249912212549e+02,5.626135416272e-03,7.749087388470e-05,-3.249978242255e+02,1.354417690416e-03,1.919564569957e-05
6.383222949416e-03,-3.249904145274e+02,6.009475321880e-03,8.458582388516e-05,-3.249976300905e+02,1.445649431327e-03,2.090234242761e-05
6.521988665708e-03,-3.249895534366e+02,6.409846271815e-03,9.215633256001e-05,-3.249974230123e+02,1.541016189438e-03,2.272224629491e-05
6.660754382000e-03,-3.249886355936e+02,6.827618398387e-03,1.002230910017e-04,-3.249972024101e+02,1.640619186729e-03,2.466039075803e-05
6.799520098291e-03,-3.249876585579e+02,7.263161821112e-03,1.088072221994e-04,-3.249969676889e+02,1.744560375501e-03,2.672192861258e-05
6.938285814583e-03,-3.249866198379e+02,7.716846649316e-03,1.179302804909e-04,-3.249967182397e+02,1.852942454203e-03,2.891213275815e-05
7.077051530875e-03,-3.249855168904e+02,8.189042976928e-03,1.276142510135e-04,-3.249964534391e+02,1.965868883262e-03,3.123639698184e-05
7.215817247166e-03,-3.249843471210e+02,8.680120883999e-03,1.378815491538e-04,-3.249961726493e+02,2.083443901776e-03,3.370023676102e-05
7.354582963458e-03,-3.249831078840e+02,9.190450436054e-03,1.487550199981e-04,-3.249958752180e+02,2.205772541182e-03,3.630929008374e-05
7.493348679750e-03,-3.249817964822e+02,9.720401682569e-03,1.602579377824e-04,-3.249955604781e+02,2.332960641512e-03,3.906931828671e-05
7.632114396041e-03,-3.249804101670e+02,1.027034465546e-02,1.724140053416e-04,-3.249952277481e+02,2.465114868309e-03,4.198620691268e-05
7.770880112333e-03,-3.249789461387e+02,1.084064936885e-02,1.852473535572e-04,-3.249948763313e+02,2.602342723907e-03,4.506596658424e-05
7.909645828625e-03,-3.249774015461e+02,1.143168581780e-02,1.987825408061e-04,-3.249945055162e+02,2.744752569759e-03,4.831473389727e-05
8.048411544916e-03,-3.249757734866e+02,1.204382397849e-02,2.130445524086e-04,-3.249941145761e+02,2.892453636197e-03,5.173877233313e-05
8.187177261208e-03,-3.249740590063e+02,1.267743380520e-02,2.280588000751e-04,-3.249937027694e+02,3.045556039565e-03,5.534447318636e-05
8.325942977500e-03,-3.249722551002e+02,1.333288522903e-02,2.438511213520e-04,-3.249932693386e+02,3.204170799780e-03,5.913835651261e-05
8.464708693791e-03,-3.249703587116e+02,1.401054815935e-02,2.604477790668e-04,-3.249928135113e+02,3.368409853561e-03,6.312707209454e-05
8.603474410083e-03,-3.249683667327e+02,1.471079248000e-02,2.778754607739e-04,-3.249923344990e+02,3.538386070256e-03,6.731740042436e-05
8.742240126375e-03,-3.249662760043e+02,1.543398804918e-02,2.961612781977e-04,-3.249918314979e+02,3.714213268110e-03,7.171625370505e-05
8.881005842666e-03,-3.249640833159e+02,1.618050469803e-02,3.153327666757e-04,-3.249913036881e+02,3.896006230304e-03,7.633067687033e-05
9.019771558958e-03,-3.249617854056e+02,1.695071222903e-02,3.354178846008e-04,-3.249907502337e+02,4.083880719274e-03,8.116784862210e-05
9.158537275250e-03,-3.249593789604e+02,1.774498041519e-02,3.564450128621e-04,-3.249901702828e+02,4.277953492317e-03,8.623508248505e-05
9.297302991541e-03,-3.249568606158e+02,1.856367899764e-02,3.784429542850e-04,-3.249895629671e+02,4.478342319160e-03,9.153982788059e-05
9.436068707833e-03,-3.249542269560e+02,1.940717768564e-02,4.014409330705e-04,-3.249889274021e+02,4.685165994099e-03,9.708967121766e-05
9.574834424125e-03,-3.249514745140e+02,2.027584615288e-02,4.254685942323e-04,-3.249882626863e+02,4.898544354219e-03,1.028923370011e-04
9.713600140416e-03,-3.249485997714e+02,2.117005403878e-02,4.505560030336e-04,-3.249875679020e+02,5.118598294784e-03,1.089556889592e-04
9.852365856708e-03,-3.249455991585e+02,2.209017094441e-02,4.767336444232e-04,-3.249868421144e+02,5.345449782899e-03,1.152877311882e-04
9.991131573000e-03,-3.249424690546e+02,2.303656643199e-02,5.040324224684e-04,-3.249860843717e+02,5.579221875295e-03,1.218966093144e-04
1.012989728929e-02,-3.249392057873e+02,2.400961002279e-02,5.324836597883e-04,-3.249852937050e+02,5.820038732635e-03,1.287906116748e-04
1.026866300558e-02,-3.249358056331e+02,2.500967119642e-02,5.621190969851e-04,-3.249844691280e+02,6.068025634265e-03,1.359781705145e-04
1.040742872187e-02,-3.249322648174e+02,2.603711938697e-02,5.929708920736e-04,-3.249836096371e+02,6.323308996857e-03,1.434678632026e-04
1.054619443817e-02,-3.249285795141e+02,2.709232398341e-02,6.250716199093e-04,-3.249827142110e+02,6.586016387203e-03,1.512684134671e-04
1.068496015446e-02,-3.249247458459e+02,2.817565432594e-02,6.584542716153e-04,-3.249817818105e+02,6.856276536966e-03,1.593886926440e-04
1.082372587075e-02,-3.249207598844e+02,2.928747970575e-02,6.931522540071e-04,-3.249808113787e+02,7.134219361755e-03,1.678377209468e-04
1.096249158704e-02,-3.249166176497e+02,3.042816936133e-02,7.291993890162e-04,-3.249798018404e+02,7.419975973271e-03,1.766246687531e-04
1.110125730333e-02,-3.249123151109e+02,3.159809247675e-02,7.666299131108e-04,-3.249787521022e+02,7.713678697738e-03,1.857588579091e-04
1.124002301962e-02,-3.249078481858e+02,3.279761818034e-02,8.054784767152e-04,-3.249776610521e+02,8.015461089132e-03,1.952497630512e-04
1.137878873592e-02,-3.249032127410e+02,3.402711554320e-02,8.457801436284e-04,-3.249765275598e+02,8.325457944358e-03,2.051070129446e-04
1.151755445221e-02,-3.248984045917e+02,3.528695357506e-02,8.875703904401e-04,-3.249753504759e+02,8.643805322114e-03,2.153403918401e-04
1.165632016850e-02,-3.248934195022e+02,3.657750122189e-02,9.308851059428e-04,-3.249741286321e+02,8.970640556338e-03,2.259598408501e-04
1.179508588479e-02,-3.248882531854e+02,3.789912736592e-02,9.757605905438e-04,-3.249728608411e+02,9.306102269650e-03,2.369754593395e-04
1.193385160108e-02,-3.248829013031e+02,3.925220082215e-02,1.022233555675e-03,-3.249715458962e+02,9.650330392652e-03,2.483975063341e-04
1.207261731737e-02,-3.248773594659e+02,4.063709033489e-02,1.070341123202e-03,-3.249701825711e+02,1.000346617824e-02,2.602364019493e-04
1.221138303367e-02,-3.248716232332e+02,4.205416457561e-02,1.120120824822e-03,-3.249687696199e+02,1.036565221548e-02,2.725027288339e-04
1.235014874996e-02,-3.248656881133e+02,4.350379214225e-02,1.171610601476e-03,-3.249673057768e+02,1.073703244760e-02,2.852072336315e-04
1.248891446625e-02,-3.248595495634e+02,4.498634155383e-02,1.224848802741e-03,-3.249657897559e+02,1.111775218545e-02,2.983608284601e-04
1.262768018254e-02,-3.248532029895e+02,4.650218125022e-02,1.279874186229e-03,-3.249642202511e+02,1.150795812485e-02,3.119745924087e-04
1.276644589883e-02,-3.248466437464e+02,4.805167958780e-02,1.336725916986e-03,-3.249625959358e+02,1.190779836085e-02,3.260597730513e-04
1.290521161512e-02,-3.248398671380e+02,4.963520483709e-02,1.395443566879e-03,-3.249609154628e+02,1.231742240387e-02,3.406277879782e-04
1.304397733142e-02,-3.248328684169e+02,5.125312517993e-02,1.456067113987e-03,-3.249591774639e+02,1.273698119458e-02,3.556902263444e-04
1.318274304771e-02,-3.248256427848e+02,5.290580870729e-02,1.518636941989e-03,-3.249573805501e+02,1.316662712105e-02,3.712588504361e-04
1.332150876400e-02,-3.248181853921e+02,5.459362341495e-02,1.583193839548e-03,-3.249555233110e+02,1.360651403245e-02,3.873455972539e-04
1.346027448029e-02,-3.248104913383e+02,5.631693720154e-02,1.649778999688e-03,-3.249536043148e+02,1.405679725549e-02,4.039625801129e-04
