time_s,position_m,charge_C,current_A,voltage_V,power_W,energy_J
1.054736514546e-01,1.697162850062e-02,-1.528466551499e-07,-5.402416209663e-06,-5.402416209663e+03,2.918610090243e-02,5.242806935057e-04
1.055829505753e-01,1.699763230782e-02,-1.534375620502e-07,-5.410239858444e-06,-5.410239858444e+03,2.927069532590e-02,5.274753317184e-04
1.056922496959e-01,1.702367374585e-02,-1.540293240683e-07,-5.418063507226e-06,-5.418063507226e+03,2.935541216833e-02,5.306792227173e-04
1.058015488166e-01,1.704975281472e-02,-1.546219412044e-07,-5.425887156008e-06,-5.425887156008e+03,2.944025142973e-02,5.338923798828e-04
1.059108479373e-01,1.707586951443e-02,-1.552154134584e-07,-5.433710804790e-06,-5.433710804790e+03,2.952521311009e-02,5.371148165951e-04
1.060201470580e-01,1.710202384498e-02,-1.558097408304e-07,-5.441534453571e-06,-5.441534453571e+03,2.961029720940e-02,5.403465462345e-04
1.061294461786e-01,1.712821580636e-02,-1.564049233202e-07,-5.449358102353e-06,-5.449358102353e+03,2.969550372768e-02,5.435875821813e-04
1.062387452993e-01,1.715444539858e-02,-1.570009609281e-07,-5.457181751135e-06,-5.457181751135e+03,2.978083266492e-02,5.468379378157e-04
1.063480444200e-01,1.718071262165e-02,-1.575978536538e-07,-5.465005399916e-06,-5.465005399916e+03,2.986628402112e-02,5.500976265181e-04
1.064573435407e-01,1.720701747554e-02,-1.581956014975e-07,-5.472829048699e-06,-5.472829048699e+03,2.995185779628e-02,5.533666616687e-04
1.065666426614e-01,1.723335996028e-02,-1.587942044591e-07,-5.480652697480e-06,-5.480652697480e+03,3.003755399039e-02,5.566450566479e-04
1.066759417820e-01,1.725974007586e-02,-1.593936625386e-07,-5.488476346262e-06,-5.488476346262e+03,3.012337260348e-02,5.599328248358e-04
1.067852409027e-01,1.728615782227e-02,-1.599939757361e-07,-5.496299995044e-06,-5.496299995044e+03,3.020931363552e-02,5.632299796129e-04
1.068945400234e-01,1.731261319952e-02,-1.605951440515e-07,-5.504123643825e-06,-5.504123643825e+03,3.029537708651e-02,5.665365343593e-04
1.070038391441e-01,1.733910620761e-02,-1.611971674849e-07,-5.511947292607e-06,-5.511947292607e+03,3.038156295647e-02,5.698525024554e-04
1.071131382648e-01,1.736563684654e-02,-1.618000460361e-07,-5.519770941389e-06,-5.519770941389e+03,3.046787124540e-02,5.731778972814e-04
1.072224373854e-01,1.739220511630e-02,-1.624037797053e-07,-5.527594590170e-06,-5.527594590170e+03,3.055430195328e-02,5.765127322176e-04
1.073317365061e-01,1.741881101690e-02,-1.630083684925e-07,-5.535418238952e-06,-5.535418238952e+03,3.064085508012e-02,5.798570206444e-04
1.074410356268e-01,1.744545454835e-02,-1.636138123976e-07,-5.570817553363e-06,-5.570817553363e+03,3.103400821285e-02,5.832275248073e-04
1.075503347475e-01,1.747213571062e-02,-1.642261394126e-07,-5.611926264345e-06,-5.611926264345e+03,3.149371639645e-02,5.866446374662e-04
1.076596338681e-01,1.749885450374e-02,-1.648405696096e-07,-5.625506188492e-06,-5.625506188492e+03,3.164631987677e-02,5.900952126884e-04
1.077689329888e-01,1.752561092770e-02,-1.654558651721e-07,-5.633423594861e-06,-5.633423594861e+03,3.173546139914e-02,5.935589991686e-04
1.078782321095e-01,1.755240498249e-02,-1.660720261002e-07,-5.641341001230e-06,-5.641341001230e+03,3.182472829215e-02,5.970325355903e-04
1.079875312302e-01,1.757923666812e-02,-1.666890523939e-07,-5.649258407598e-06,-5.649258407598e+03,3.191412055582e-02,6.005158356564e-04
1.080968303509e-01,1.760610598459e-02,-1.673069440531e-07,-5.657175813967e-06,-5.657175813967e+03,3.200363819013e-02,6.040089130697e-04
1.082061294715e-01,1.763301293190e-02,-1.679257010779e-07,-5.665093220336e-06,-5.665093220336e+03,3.209328119510e-02,6.075117815332e-04
1.083154285922e-01,1.765995751004e-02,-1.685453234682e-07,-5.673010626704e-06,-5.673010626704e+03,3.218304957070e-02,6.110244547498e-04
1.084247277129e-01,1.768693971903e-02,-1.691658112240e-07,-5.680928033073e-06,-5.680928033073e+03,3.227294331695e-02,6.145469464223e-04
1.085340268336e-01,1.771395955885e-02,-1.697871643455e-07,-5.688845439442e-06,-5.688845439442e+03,3.236296243385e-02,6.180792702537e-04
1.086433259542e-01,1.774101702951e-02,-1.704093828325e-07,-5.696762845811e-06,-5.696762845811e+03,3.245310692141e-02,6.216214399469e-04
1.087526250749e-01,1.776811213100e-02,-1.710324666850e-07,-5.704680252179e-06,-5.704680252179e+03,3.254337677960e-02,6.251734692047e-04
1.088619241956e-01,1.779524486334e-02,-1.716564159031e-07,-5.712597658547e-06,-5.712597658547e+03,3.263377200844e-02,6.287353717302e-04
1.089712233163e-01,1.782241522651e-02,-1.722812304867e-07,-5.720515064916e-06,-5.720515064916e+03,3.272429260793e-02,6.323071612261e-04
1.090805224370e-01,1.784962322052e-02,-1.729069104359e-07,-5.728432471285e-06,-5.728432471285e+03,3.281493857807e-02,6.358888513954e-04
1.091898215576e-01,1.787686884537e-02,-1.735334557507e-07,-5.736349877653e-06,-5.736349877653e+03,3.290570991885e-02,6.394804559409e-04
1.092991206783e-01,1.790415210106e-02,-1.741608664310e-07,-5.744267284022e-06,-5.744267284022e+03,3.299660663028e-02,6.430819885657e-04
