normalized_time,experiment_charge_nC,simulation_charge_nC,difference_nC
8.004002001001e-02,-2.464744744357e+02,-5.476329068932e+00,2.409981453668e+02
8.054027013507e-02,-2.478454119144e+02,-5.653544120395e+00,2.421918677940e+02
8.104052026013e-02,-2.491639036803e+02,-5.835546177630e+00,2.433283575026e+02
8.154077038519e-02,-2.504351592381e+02,-6.022459605092e+00,2.444126996330e+02
8.204102051026e-02,-2.516565969669e+02,-6.214411722905e+00,2.454421852440e+02
8.254127063532e-02,-2.528277808939e+02,-6.411532861629e+00,2.464162480323e+02
8.304152076038e-02,-2.539541319094e+02,-6.613956417107e+00,2.473401754923e+02
8.354177088544e-02,-2.550343300635e+02,-6.821818905368e+00,2.482125111581e+02
8.404202101051e-02,-2.560737173371e+02,-7.035260017475e+00,2.490384573196e+02
8.454227113557e-02,-2.570770600035e+02,-7.254422674274e+00,2.498226373292e+02
8.504252126063e-02,-2.580430271370e+02,-7.479453080943e+00,2.505635740561e+02
8.554277138569e-02,-2.589788508489e+02,-7.710500781263e+00,2.512683500676e+02
8.604302151076e-02,-2.598881170320e+02,-7.947718711521e+00,2.519403983204e+02
8.654327163582e-02,-2.607723126298e+02,-8.191263253940e+00,2.525810493758e+02
8.704352176088e-02,-2.616383325397e+02,-8.441294289538e+00,2.531970382502e+02
8.754377188594e-02,-2.624890850660e+02,-8.697975250305e+00,2.537911098157e+02
8.804402201101e-02,-2.633285317393e+02,-8.961473170579e+00,2.543670585687e+02
8.854427213607e-02,-2.641625334902e+02,-9.231958737501e+00,2.549305747527e+02
8.904452226113e-02,-2.649972418444e+02,-9.509606340406e+00,2.554876355040e+02
8.954477238619e-02,-2.658405511990e+02,-9.794594119036e+00,2.560459570800e+02
9.004502251126e-02,-2.666996096283e+02,-1.008710401040e+01,2.566125056179e+02
9.054527263632e-02,-2.675849511990e+02,-1.038732179413e+01,2.571976294049e+02
9.104552276138e-02,-2.685018013741e+02,-1.069543713625e+01,2.578063642379e+02
9.154577288644e-02,-2.694537630049e+02,-1.101164363097e+01,2.584421193740e+02
9.204602301151e-02,-2.704502663566e+02,-1.133613884069e+01,2.591141275159e+02
9.254627313657e-02,-2.714884937703e+02,-1.166912433357e+01,2.598193694368e+02
9.304652326163e-02,-2.725713835652e+02,-1.201080571890e+01,2.605605778463e+02
9.354677338669e-02,-2.737030838154e+02,-1.236139267978e+01,2.613416911356e+02
9.404702351176e-02,-2.748781050260e+02,-1.272109900299e+01,2.621570060230e+02
9.454727363682e-02,-2.760982771620e+02,-1.309014260584e+01,2.630081345562e+02
9.504752376188e-02,-2.773622655062e+02,-1.346874555969e+01,2.638935199465e+02
9.554777388694e-02,-2.786654218844e+02,-1.385713411005e+01,2.648082877743e+02
9.604802401201e-02,-2.800091109289e+02,-1.425553869277e+01,2.657535722361e+02
9.654827413707e-02,-2.813876095782e+02,-1.466419394626e+01,2.667234156320e+02
9.704852426213e-02,-2.827961733601e+02,-1.508333871934e+01,2.677128346408e+02
9.754877438719e-02,-2.842344587528e+02,-1.551321607452e+01,2.687212426783e+02
