time_s,position_m,motion_velocity_m_per_s,source_charge_C,source_current_A,load_charge_C,load_current_A,voltage_V,power_W,energy_J
7.291388026442e-02,3.683202238698e-03,1.716555210577e-01,4.073587012218e-08,3.007321589725e-06,3.655538125546e-09,3.304787988527e-07,3.304787988527e+02,1.092162364911e-04,6.713661543801e-07
7.297408990956e-02,3.693544807110e-03,1.718963596382e-01,4.091723101625e-08,3.016992077875e-06,3.675479447157e-09,3.319174522721e-07,3.319174522721e+02,1.101691951228e-04,6.779707138733e-07
7.303429955470e-02,3.703901876327e-03,1.721371982188e-01,4.109917445635e-08,3.026672178144e-06,3.695507522605e-09,3.333605244439e-07,3.333605244439e+02,1.111292392575e-04,6.846328639753e-07
7.309450919984e-02,3.714273446350e-03,1.723780367994e-01,4.128170101684e-08,3.036361744823e-06,3.715622618026e-09,3.348080181152e-07,3.348080181152e+02,1.120964089942e-04,6.913530325090e-07
7.315471884498e-02,3.724659517179e-03,1.726188753799e-01,4.146481126327e-08,3.046060631229e-06,3.735824999716e-09,3.362599359531e-07,3.362599359531e+02,1.130707445272e-04,6.981316497143e-07
7.321492849012e-02,3.735060088812e-03,1.728597139605e-01,4.164850575232e-08,3.055768689707e-06,3.756114934130e-09,3.377162805444e-07,3.377162805444e+02,1.140522861447e-04,7.049691482543e-07
7.327513813526e-02,3.745475161252e-03,1.731005525410e-01,4.183278503179e-08,3.065485771633e-06,3.776492687877e-09,3.391770543949e-07,3.391770543949e+02,1.150410742280e-04,7.118659632202e-07
7.333534778040e-02,3.755904734496e-03,1.733413911216e-01,4.201764964045e-08,3.075211727419e-06,3.796958527714e-09,3.406422599292e-07,3.406422599292e+02,1.160371492497e-04,7.188225321378e-07
7.339555742554e-02,3.766348808547e-03,1.735822297022e-01,4.220310010808e-08,3.084946406513e-06,3.817512720542e-09,3.421118994900e-07,3.421118994900e+02,1.170405517727e-04,7.258392949721e-07
7.345576707068e-02,3.776807383402e-03,1.738230682827e-01,4.238913695533e-08,3.094689657407e-06,3.838155533401e-09,3.435859753378e-07,3.435859753378e+02,1.180513224488e-04,7.329166941332e-07
7.351597671582e-02,3.787280459063e-03,1.740639068633e-01,4.257576069372e-08,3.104441327638e-06,3.858887233462e-09,3.450644896502e-07,3.450644896502e+02,1.190695020176e-04,7.400551744814e-07
7.357618636096e-02,3.797768035530e-03,1.743047454438e-01,4.276297182556e-08,3.114201263791e-06,3.879708088027e-09,3.465474445218e-07,3.465474445218e+02,1.200951313046e-04,7.472551833325e-07
7.363639600610e-02,3.808270112802e-03,1.745455840244e-01,4.295077084389e-08,3.123969311504e-06,3.900618364522e-09,3.480348419634e-07,3.480348419634e+02,1.211282512205e-04,7.545171704632e-07
7.369660565124e-02,3.818786690880e-03,1.747864226050e-01,4.313915823243e-08,3.133745315472e-06,3.921618330490e-09,3.495266839015e-07,3.495266839015e+02,1.221689027592e-04,7.618415881155e-07
7.375681529638e-02,3.829317769763e-03,1.750272611855e-01,4.332813446552e-08,3.143529119449e-06,3.942708253588e-09,3.510229721784e-07,3.510229721784e+02,1.232171269970e-04,7.692288910025e-07
7.381702494152e-02,3.839863349451e-03,1.752680997661e-01,4.351770000806e-08,3.153320566255e-06,3.963888401581e-09,3.525237085509e-07,3.525237085509e+02,1.242729650905e-04,7.766795363126e-07
7.387723458666e-02,3.850423429945e-03,1.755089383466e-01,4.370785531546e-08,3.163119497779e-06,3.985159042338e-09,3.540288946907e-07,3.540288946907e+02,1.253364582759e-04,7.841939837148e-07
7.393744423180e-02,3.860998011245e-03,1.757497769272e-01,4.389860083359e-08,3.172925754981e-06,4.006520443825e-09,3.555385321831e-07,3.555385321831e+02,1.264076478669e-04,7.917726953633e-07
7.399765387694e-02,3.871587093350e-03,1.759906155078e-01,4.408993699871e-08,3.182739177899e-06,4.027972874103e-09,3.570526225272e-07,3.570526225272e+02,1.274865752536e-04,7.994161359018e-07
7.405786352208e-02,3.882190676260e-03,1.762314540883e-01,4.428186423741e-08,3.192559605653e-06,4.049516601317e-09,3.585711671354e-07,3.585711671354e+02,1.285732819009e-04,8.071247724688e-07
7.411807316722e-02,3.892808759976e-03,1.764722926689e-01,4.447438296660e-08,3.202386876449e-06,4.071151893699e-09,3.600941673325e-07,3.600941673325e+02,1.296678093469e-04,8.148990747010e-07
7.417828281236e-02,3.903441344497e-03,1.767131312494e-01,4.466749359339e-08,3.212220827582e-06,4.092879019553e-09,3.616216243557e-07,3.616216243557e+02,1.307701992017e-04,8.227395147389e-07
7.423849245750e-02,3.914088429824e-03,1.769539698300e-01,4.486119651507e-08,3.222061295445e-06,4.114698247260e-09,3.631535393540e-07,3.631535393540e+02,1.318804931453e-04,8.306465672299e-07
7.429870210264e-02,3.924750015957e-03,1.771948084106e-01,4.505549211906e-08,3.231908115529e-06,4.136609845263e-09,3.646899133877e-07,3.646899133877e+02,1.329987329267e-04,8.386207093332e-07
7.435891174778e-02,3.935426102894e-03,1.774356469911e-01,4.525038078284e-08,3.241761122431e-06,4.158614082070e-09,3.662307474280e-07,3.662307474280e+02,1.341249603617e-04,8.466624207239e-07
7.441912139292e-02,3.946116690638e-03,1.776764855717e-01,4.544586287392e-08,3.251620149858e-06,4.180711226241e-09,3.677760423568e-07,3.677760423568e+02,1.352592173317e-04,8.547721835965e-07
7.447933103806e-02,3.956821779186e-03,1.779173241522e-01,4.564193874976e-08,3.261485030631e-06,4.202901546390e-09,3.693257989660e-07,3.693257989660e+02,1.364015457819e-04,8.629504826693e-07
7.453954068320e-02,3.967541368540e-03,1.781581627328e-01,4.583860875772e-08,3.271355596694e-06,4.225185311174e-09,3.708800179570e-07,3.708800179570e+02,1.375519877198e-04,8.711978051877e-07
7.459975032834e-02,3.978275458700e-03,1.783990013134e-01,4.603587323504e-08,3.281231679114e-06,4.247562789289e-09,3.724386999407e-07,3.724386999407e+02,1.387105852135e-04,8.795146409286e-07
7.465995997348e-02,3.989024049665e-03,1.786398398939e-01,4.623373250872e-08,3.291113108090e-06,4.270034249467e-09,3.740018454364e-07,3.740018454364e+02,1.398773803898e-04,8.879014822032e-07
7.472016961862e-02,3.999787141436e-03,1.788806784745e-01,4.643218689556e-08,3.300999712956e-06,4.292599960466e-09,3.755694548723e-07,3.755694548723e+02,1.410524154331e-04,8.963588238611e-07
7.478037926376e-02,4.010564734012e-03,1.791215170550e-01,4.663123670203e-08,3.310891322190e-06,4.315260191070e-09,3.771415285842e-07,3.771415285842e+02,1.422357325828e-04,9.048871632933e-07
7.484058890890e-02,4.021356827393e-03,1.793623556356e-01,4.683088222424e-08,3.320787763416e-06,4.338015210077e-09,3.787180668157e-07,3.787180668157e+02,1.434273741326e-04,9.134870004357e-07
7.490079855404e-02,4.032163421580e-03,1.796031942161e-01,4.703112374792e-08,3.330688863413e-06,4.360865286300e-09,3.802990697173e-07,3.802990697173e+02,1.446273824279e-04,9.221588377724e-07
7.496100819918e-02,4.042984516573e-03,1.798440327967e-01,4.723196154833e-08,3.340594448117e-06,4.383810688556e-09,3.818845373467e-07,3.818845373467e+02,1.458357998645e-04,9.309031803384e-07
7.502121784432e-02,4.053820112371e-03,1.800848713773e-01,4.743339589022e-08,3.350504342630e-06,4.406851685665e-09,3.834744696675e-07,3.834744696675e+02,1.470526688868e-04,9.397205357230e-07
7.508142748946e-02,4.064670208974e-03,1.803257099578e-01,4.763542702780e-08,3.360418371227e-06,4.429988546439e-09,3.850688665495e-07,3.850688665495e+02,1.482780319858e-04,9.486114140722e-07
7.514163713460e-02,4.075534806383e-03,1.805665485384e-01,4.783805520467e-08,3.370336357357e-06,4.453221539682e-09,3.866677277682e-07,3.866677277682e+02,1.495119316974e-04,9.575763280920e-07
7.520184677974e-02,4.086413904598e-03,1.808073871189e-01,4.804128065376e-08,3.380258123655e-06,4.476550934179e-09,3.882710530040e-07,3.882710530040e+02,1.507544106008e-04,9.666157930506e-07
7.526205642488e-02,4.097307503617e-03,1.810482256995e-01,4.824510359732e-08,3.390183491945e-06,4.499976998696e-09,3.898788418422e-07,3.898788418422e+02,1.520055113162e-04,9.757303267812e-07
7.532226607002e-02,4.108215603443e-03,1.812890642801e-01,4.844952424683e-08,3.400112283247e-06,4.523500001970e-09,3.914910937726e-07,3.914910937726e+02,1.532652765033e-04,9.849204496843e-07
7.538247571516e-02,4.119138204074e-03,1.815299028606e-01,4.865454280298e-08,3.410044317785e-06,4.547120212702e-09,3.931078081891e-07,3.931078081891e+02,1.545337488593e-04,9.941866847300e-07
7.544268536030e-02,4.130075305510e-03,1.817707414412e-01,4.886015945560e-08,3.419979414990e-06,4.570837899556e-09,3.947289843891e-07,3.947289843891e+02,1.558109711168e-04,1.003529557460e-06
7.550289500544e-02,4.141026907752e-03,1.820115800217e-01,4.906637438364e-08,3.429917393511e-06,4.594653331152e-09,3.963546215733e-07,3.963546215733e+02,1.570969860425e-04,1.012949595991e-06
7.556310465058e-02,4.151993010799e-03,1.822524186023e-01,4.927318775510e-08,3.439858071219e-06,4.618566776056e-09,3.979847188455e-07,3.979847188455e+02,1.583918364345e-04,1.022447331015e-06
7.562331429572e-02,4.162973614651e-03,1.824932571829e-01,4.948059972699e-08,3.449801265215e-06,4.642578502778e-09,3.996192752119e-07,3.996192752119e+02,1.596955651209e-04,1.032023295800e-06
7.568352394086e-02,4.173968719310e-03,1.827340957634e-01,4.968861044529e-08,3.459746791836e-06,4.666688779766e-09,4.012582895809e-07,4.012582895809e+02,1.610082149574e-04,1.041678026197e-06
7.574373358600e-02,4.184978324773e-03,1.829749343440e-01,4.989722004489e-08,3.469694466664e-06,4.690897875400e-09,4.029017607630e-07,4.029017607630e+02,1.623298288259e-04,1.051412060635e-06
7.580394323114e-02,4.196002431042e-03,1.832157729245e-01,5.010642864955e-08,3.479644104532e-06,4.715206057982e-09,4.045496874698e-07,4.045496874698e+02,1.636604496320e-04,1.061225940128e-06
7.586415287628e-02,4.207041038117e-03,1.834566115051e-01,5.031623637188e-08,3.489595519528e-06,4.739613595739e-09,4.062020683145e-07,4.062020683145e+02,1.650001203030e-04,1.071120208272e-06
7.592436252142e-02,4.218094145997e-03,1.836974500857e-01,5.052664331326e-08,3.499548525010e-06,4.764120756805e-09,4.078589018108e-07,4.078589018108e+02,1.663488837863e-04,1.081095411248e-06
7.598457216656e-02,4.229161754682e-03,1.839382886662e-01,5.073764956380e-08,3.509502933606e-06,4.788727809228e-09,4.095201863728e-07,4.095201863728e+02,1.677067830468e-04,1.091152097827e-06
7.604478181170e-02,4.240243864173e-03,1.841791272468e-01,5.094925520233e-08,3.519458557225e-06,4.813435020951e-09,4.111859203151e-07,4.111859203151e+02,1.690738610654e-04,1.101290819363e-06
7.610499145684e-02,4.251340474470e-03,1.844199658273e-01,5.116146029633e-08,3.529415207064e-06,4.838242659819e-09,4.128561018519e-07,4.128561018519e+02,1.704501608364e-04,1.111512129801e-06
7.616520110198e-02,4.262451585572e-03,1.846608044079e-01,5.137426490186e-08,3.539372693616e-06,4.863150993561e-09,4.145307290968e-07,4.145307290968e+02,1.718357253655e-04,1.121816585673e-06
7.622541074712e-02,4.273577197479e-03,1.849016429885e-01,5.158766906359e-08,3.549330826678e-06,4.888160289793e-09,4.162098000626e-07,4.162098000626e+02,1.732305976682e-04,1.132204746103e-06
7.628562039225e-02,4.284717310192e-03,1.851424815690e-01,5.180167281469e-08,3.559289415357e-06,4.913270816007e-09,4.178933126611e-07,4.178933126611e+02,1.746348207669e-04,1.142677172803e-06
7.634583003739e-02,4.295871923710e-03,1.853833201496e-01,5.201627617684e-08,3.569248268081e-06,4.938482839565e-09,4.195812647025e-07,4.195812647025e+02,1.760484376894e-04,1.153234430077e-06
7.640603968253e-02,4.307041038034e-03,1.856241587301e-01,5.223147916013e-08,3.579207192605e-06,4.963796627697e-09,4.212736538952e-07,4.212736538952e+02,1.774714914662e-04,1.163877084819e-06
7.646624932767e-02,4.318224653163e-03,1.858649973107e-01,5.244728176309e-08,3.589165996017e-06,4.989212447489e-09,4.229704778455e-07,4.229704778455e+02,1.789040251289e-04,1.174605706514e-06
7.652645897281e-02,4.329422769098e-03,1.861058358913e-01,5.266368397259e-08,3.599124484754e-06,5.014730565881e-09,4.246717340575e-07,4.246717340575e+02,1.803460817074e-04,1.185420867239e-06
7.658666861795e-02,4.340635385838e-03,1.863466744718e-01,5.288068576385e-08,3.609082464600e-06,5.040351249660e-09,4.263774199324e-07,4.263774199324e+02,1.817977042282e-04,1.196323141659e-06
7.664687826309e-02,4.351862503384e-03,1.865875130524e-01,5.309828710036e-08,3.619039740703e-06,5.066074765453e-09,4.280875327685e-07,4.280875327685e+02,1.832589357118e-04,1.207313107033e-06
7.670708790823e-02,4.363104121735e-03,1.868283516329e-01,5.331648793385e-08,3.628996117578e-06,5.091901379722e-09,4.298020697609e-07,4.298020697609e+02,1.847298191708e-04,1.218391343206e-06
7.676729755337e-02,4.374360240892e-03,1.870691902135e-01,5.353528820429e-08,3.638951399119e-06,5.117831358755e-09,4.315210280012e-07,4.315210280012e+02,1.862103976072e-04,1.229558432616e-06
7.682750719851e-02,4.385630860854e-03,1.873100287941e-01,5.375468783980e-08,3.648905388604e-06,5.143864968665e-09,4.332444044770e-07,4.332444044770e+02,1.877007140107e-04,1.240814960289e-06
7.688771684365e-02,4.396915981621e-03,1.875508673746e-01,5.397468675664e-08,3.658857888709e-06,5.170002475377e-09,4.349721960721e-07,4.349721960721e+02,1.892008113558e-04,1.252161513836e-06
7.694792648879e-02,4.408215603194e-03,1.877917059552e-01,5.419528485919e-08,3.668808701512e-06,5.196244144627e-09,4.367043995656e-07,4.367043995656e+02,1.907107326000e-04,1.263598683459e-06
7.700813613393e-02,4.419529725573e-03,1.880325445357e-01,5.441648203988e-08,3.678757628503e-06,5.222590241954e-09,4.384410116324e-07,4.384410116324e+02,1.922305206812e-04,1.275127061944e-06
7.706834577907e-02,4.430858348757e-03,1.882733831163e-01,5.463827817916e-08,3.688704470596e-06,5.249041032693e-09,4.401820288421e-07,4.401820288421e+02,1.937602185155e-04,1.286747244661e-06
7.712855542421e-02,4.442201472746e-03,1.885142216969e-01,5.486067314551e-08,3.698649028135e-06,5.275596781970e-09,4.419274476595e-07,4.419274476595e+02,1.952998689949e-04,1.298459829565e-06
7.718876506935e-02,4.453559097541e-03,1.887550602774e-01,5.508366679532e-08,3.708591100901e-06,5.302257754695e-09,4.436772644440e-07,4.436772644440e+02,1.968495149845e-04,1.310265417190e-06
7.724897471449e-02,4.464931223142e-03,1.889958988580e-01,5.530725897297e-08,3.718530488129e-06,5.329024215555e-09,4.454314754492e-07,4.454314754492e+02,1.984091993209e-04,1.322164610654e-06
7.730918435963e-02,4.476317849548e-03,1.892367374385e-01,5.553144951068e-08,3.728466988508e-06,5.355896429009e-09,4.471900768231e-07,4.471900768231e+02,1.999789648090e-04,1.334158015649e-06
