electrode_count,load,resistance_ohm,event_count,source_charge_peak_to_peak_nC,modeled_total_transfer_charge_nC,source_current_peak_uA,load_current_peak_uA,load_current_rms_uA,voltage_peak_V,voltage_rms_V,power_peak_mW,power_mean_mW,energy_uJ,duration_s
6,10M,1.000000000000e+07,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.718299973129e+00,2.747882787752e+00,5.718299973129e+01,2.747882787752e+01,3.269895458269e-01,7.550859815225e-02,5.455610737607e+01,7.224555320337e-01
6,20M,2.000000000000e+07,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.697570351978e+00,2.744745343612e+00,1.139514070396e+02,5.489490687224e+01,6.492461583147e-01,1.506725400256e-01,1.088631860821e+02,7.224555320337e-01
6,50M,5.000000000000e+07,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.565409357427e+00,2.724775750396e+00,2.782704678714e+02,1.362387875198e+02,1.548689065787e+00,3.712201444972e-01,2.682120644702e+02,7.224555320337e-01
6,100M,1.000000000000e+08,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,5.224055188268e+00,2.670698744157e+00,5.224055188268e+02,2.670698744157e+02,2.729075261007e+00,7.132631782042e-01,5.153426545522e+02,7.224555320337e-01
6,200M,2.000000000000e+08,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,4.511394099961e+00,2.552727018444e+00,9.022788199923e+02,5.105454036888e+02,4.070535345033e+00,1.303283046139e+00,9.416365752199e+02,7.224555320337e-01
6,500M,5.000000000000e+08,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,3.163647031761e+00,2.259270352066e+00,1.581823515880e+03,1.129635176033e+03,5.004331270784e+00,2.552151261861e+00,1.843932328730e+03,7.224555320337e-01
6,1G,1.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,2.593741890197e+00,1.829048123788e+00,2.593741890197e+03,1.829048123788e+03,6.727496992962e+00,3.345417039133e+00,2.417020369295e+03,7.224555320337e-01
6,2G,2.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,1.904154009882e+00,1.252266614740e+00,3.808308019763e+03,2.504533229479e+03,7.251604986697e+00,3.136343348783e+00,2.265946604728e+03,7.224555320337e-01
6,5G,5.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,1.101764337023e+00,6.440172316572e-01,5.508821685117e+03,3.220086158286e+03,6.069423271682e+00,2.073790973357e+00,1.498310583423e+03,7.224555320337e-01
6,10G,1.000000000000e+10,3,8.418421052632e+02,8.418421052632e+02,5.725200848151e+00,6.359382314725e-01,3.666359920308e-01,6.359382314725e+03,3.666359920308e+03,4.044174342484e+00,1.344219506524e+00,9.712117888375e+02,7.224555320337e-01
